l_names,l_team18,l_pos18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train
Ryan Tannehill,Ten,QB,11,154.86,122,5,Mia,QB,13,198.2,.079999998,174,671,2995,19,12,164,1,10,0,0,0,0,0,0,1,3,,,17,5,199.39999,114.6,20.9,328,22.299999,.92520809
Chester Rogers,Ind,WR,16,155.42999,,,Ind,WR,11,74.230003,.0099999998,1945,302,0,0,0,8,0,0,23,284,1,15,85,0,0,0,,,4,17,180.8,103.8,16.4,367.10001,25.299999,.82333666
Kenny Stills,Mia,WR,15,155.59,197,1,Mia,WR,16,194.47,.27000001,118,104,0,0,0,0,0,0,58,847,6,36,0,0,0,2,226,1,14,20,220.89999,86.800003,17.6,335.70001,24.6,.92294019
Cooper Kupp,LAR,WR,8,156.63,118,9,LAR,WR,15,199.92999,.86000001,78,98,0,0,0,0,0,0,62,869,5,42,0,0,0,1,211,1,1,10,239.39999,122.1,29.9,339.60001,20.6,.74804264
Isaiah Crowell,Oak,RB,13,156.63,115,6,NYJ,RB,16,180.42999,.75999999,82,123,0,0,0,853,2,38,28,182,0,9,0,0,1,1,76,31,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.52141476
David Njoku,Cle,TE,16,157.60001,96,6,Cle,TE,16,106.83,.75999999,100,235,0,0,0,1,0,0,32,386,4,17,0,0,0,0,,,18,14,201.8,107.1,14.6,328.10001,25.6,.86819887
John Brown,Buf,WR,16,158.07001,183,3,Bal,WR,10,81.93,.059999999,243,288,0,0,0,10,0,1,21,299,3,15,0,0,0,0,174,4,30,29,176.60001,126.1,18.9,355.10001,22.4,.72394723
Mike Davis,Chi,RB,15,158.67,,,Sea,RB,6,65.730003,.0099999998,1893,325,0,0,0,240,0,12,15,131,0,6,0,0,0,0,,,28,13,175.7,111.8,16.5,319.10001,20,.79554641
Doug Baldwin,Sea,WR,13,163.2,34,30,Sea,WR,16,250.27,.99000001,37,47,0,0,0,8,0,0,75,991,8,44,0,0,1,0,66,36,12,30,228.60001,101.8,22.9,323.20001,20.799999,.89250743
Ryan Switzer,Pit,WR,16,163.87,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,.70787907
Mark Ingram II,Bal,RB,12,165.83,94,15,,,,,,,,,,,,,,,,,,,,,,,,9,24,189.39999,116,24.700001,325.10001,18.9,.93104994
DeSean Jackson,Phi,WR,12,166.89999,223,1,TB,WR,14,159.33,.27000001,151,165,0,0,0,38,0,1,50,668,3,36,0,0,0,0,91,18,19,1,233.60001,132.2,28.6,306.5,18.4,.62168086
Taylor Gabriel,Chi,WR,16,166.97,,,Chi,WR,16,91.099998,.02,1892,269,0,0,0,49,0,3,33,378,1,17,0,0,0,0,209,3,28,13,175.7,111.8,16.5,319.10001,20,.80043542
Kyle Rudolph,Min,TE,16,170.27,77,8,Min,TE,16,188.47,.98000002,80,113,0,0,0,0,0,0,57,532,8,32,0,0,0,0,52,12,23,28,234.60001,122.3,23.9,275.89999,15.8,.8343448
Antonio Callaway,Cle,WR,16,171.17,211,1,,,,,,,,,,,,,,,,,,,,,,,,18,14,201.8,107.1,14.6,328.10001,25.6,.59068668
Allen Robinson II,Chi,WR,13,172.17,6,20,Chi,WR,1,3.1300001,.94999999,46,561,0,0,0,0,0,0,1,17,0,1,0,0,0,0,87,17,28,13,175.7,111.8,16.5,319.10001,20,.69962949
Curtis Samuel,Car,WR,13,174.23,,,Car ,WR,9,60,,,,,,,,,,,,,,,,,,195,1,11,21,192.3,131.39999,22.700001,317.10001,20.4,.8142969
A.J. Green,Cin,WR,9,175.27,53,40,Cin,WR,16,261.87,1,16,41,0,0,0,0,0,0,75,1078,8,55,0,0,0,2,36,45,22,26,195.10001,85.400002,18.1,339.10001,21.799999,.96717429
Dalvin Cook,Min,RB,11,178.83,33,43,Min,RB,4,76.400002,1,19,297,0,0,0,354,2,15,11,90,0,3,0,0,0,1,21,27,23,28,234.60001,122.3,23.9,275.89999,15.8,.75785357
Austin Hooper,Atl,TE,16,179,169,2,Atl,TE,16,126.07,.23999999,165,213,0,0,0,0,0,0,49,526,3,18,0,0,0,0,142,3,24,3,249.39999,115.4,22.1,318.39999,19.700001,.9269138
Cole Beasley,Buf,WR,16,179.7,,,Dal,WR,15,110.83,.079999998,306,230,0,0,0,0,0,0,36,314,4,20,19,0,0,0,224,1,30,29,176.60001,126.1,18.9,355.10001,22.4,.71184307
Cordarrelle Patterson,Chi,WR,15,182.57001,,,NE,WR,16,141.5,.029999999,1923,190,0,0,0,121,2,3,31,309,0,13,538,0,0,0,156,1,28,13,175.7,111.8,16.5,319.10001,20,.71357405
Andre Roberts,Buf,WR,16,186.07001,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,.76724559
