name,position,games,points,year
Adrian Peterson,RB,16,307,2012
Doug Martin,RB,16,263,2012
Arian Foster,RB,16,262,2012
Marshawn Lynch,RB,16,247,2012
Alfred Morris,RB,16,241,2012
Calvin Johnson,WR,16,220,2012
Brandon Marshall,WR,16,217,2012
Drew Brees,QB,16,346,2012
Aaron Rodgers,QB,16,344,2012
Ray Rice,RB,16,222,2012
Tom Brady,QB,16,340,2012
Dez Bryant,WR,16,208,2012
A.J. Green,WR,16,203,2012
C.J. Spiller,RB,16,212,2012
Demaryius Thomas,WR,16,197,2012
Jamaal Charles,RB,16,205,2012
Trent Richardson,RB,15,204,2012
Cam Newton,QB,16,323,2012
Vincent Jackson,WR,16,188,2012
Stevan Ridley,RB,16,199,2012
Andre Johnson,WR,16,186,2012
Robert Griffin,QB,15,318,2012
Frank Gore,RB,16,197,2012
Eric Decker,WR,16,184,2012
Julio Jones,WR,16,183,2012
Peyton Manning,QB,16,311,2012
Roddy White,WR,16,177,2012
Jimmy Graham,TE,15,152,2012
Matt Ryan,QB,16,305,2012
Wes Welker,WR,16,171,2012
Marques Colston,WR,16,171,2012
Victor Cruz,WR,16,169,2012
Rob Gronkowski,TE,11,143,2012
Matt Forte,RB,15,177,2012
Michael Crabtree,WR,16,165,2012
Tony Gonzalez,TE,16,141,2012
Chris Johnson,RB,16,176,2012
Reggie Wayne,WR,16,163,2012
James Jones,WR,16,162,2012
Reggie Bush,RB,16,172,2012
Shonn Greene,RB,16,167,2012
Mike Williams,WR,16,155,2012
Heath Miller,TE,15,132,2012
Steven Jackson,RB,16,163,2012
Tony Romo,QB,16,279,2012
Russell Wilson,QB,16,278,2012
Michael Turner,RB,16,157,2012
Jason Witten,TE,16,122,2012
Andrew Luck,QB,16,276,2012
Ahmad Bradshaw,RB,14,156,2012
Matthew Stafford,QB,16,276,2012
Randall Cobb,RB,15,155,2012
Steve Smith,WR,16,142,2012
Lance Moore,WR,15,140,2012
BenJarvus Green-Ellis,RB,15,152,2012
Steve Johnson,WR,16,139,2012
Cecil Shorts,WR,14,138,2012
Mikel Leshoure,RB,14,149,2012
Greg Olsen,TE,16,114,2012
Torrey Smith,WR,16,134,2012
LeSean McCoy,RB,12,145,2012
Dennis Pitta,TE,16,109,2012
T.Y. Hilton,WR,15,131,2012
Mike Wallace,WR,15,130,2012
Owen Daniels,TE,15,108,2012
Darren Sproles,RB,13,141,2012
Miles Austin,WR,16,128,2012
Kyle Rudolph,TE,16,105,2012
Brandon Myers,TE,16,105,2012
Jeremy Maclin,WR,15,126,2012
Jermaine Gresham,TE,16,102,2012
Justin Blackmon,WR,16,121,2012
Jordy Nelson,WR,12,119,2012
Andy Dalton,QB,16,251,2012
Tyler Clutts,,16,,2012
DeAngelo Williams,RB,16,130,2012
Antonio Gates,TE,15,96,2012
Richie Brockel,,16,,2012
Josh Freeman,QB,16,249,2012
Joe Flacco,QB,16,235,2012
Eli Manning,QB,16,233,2012
Sam Bradford,QB,16,230,2012
Matt Schaub,QB,16,225,2012
Carson Palmer,QB,15,224,2012
Ben Roethlisberger,QB,13,224,2012
Ryan Fitzpatrick,QB,16,214,2012
Philip Rivers,QB,16,208,2012
Christian Ponder,QB,16,193,2012
Jay Cutler,QB,15,185,2012
Ryan Tannehill,QB,16,183,2012
Colin Kaepernick,QB,13,174,2012
Brandon Weeden,QB,15,166,2012
Michael Vick,QB,10,152,2012
Jake Locker,QB,11,132,2012
Alex Smith,QB,10,123,2012
Anquan Boldin,WR,15,118,2012
Sidney Rice,WR,16,118,2012
Mark Sanchez,QB,15,118,2012
Danny Woodhead,RB,16,117,2012
Denarius Moore,WR,15,116,2012
Golden Tate,WR,15,116,2012
