name,position,games,points,year
David Johnson,RB,16,328,2016
Ezekiel Elliott,RB,15,293,2016
LeSean McCoy,RB,15,248,2016
Aaron Rodgers,QB,16,382,2016
DeMarco Murray,RB,16,243,2016
Le'Veon Bell,RB,12,242,2016
Devonta Freeman,RB,16,232,2016
LeGarrette Blount,RB,16,226,2016
Matt Ryan,QB,16,355,2016
Mike Evans,WR,16,208,2016
Jordy Nelson,WR,16,208,2016
Antonio Brown,WR,15,207,2016
Melvin Gordon,RB,13,210,2016
Jordan Howard,RB,15,201,2016
Odell Beckham,WR,16,196,2016
Drew Brees,QB,16,336,2016
Mark Ingram,RB,16,198,2016
T.Y. Hilton,WR,16,185,2016
Jay Ajayi,RB,15,188,2016
Julio Jones,WR,14,179,2016
Travis Kelce,TE,16,138,2016
Davante Adams,WR,16,174,2016
Frank Gore,RB,16,176,2016
Latavius Murray,RB,14,175,2016
Brandin Cooks,WR,16,168,2016
Greg Olsen,TE,16,131,2016
Andrew Luck,QB,15,310,2016
Kyle Rudolph,TE,16,128,2016
Kirk Cousins,QB,16,306,2016
Michael Thomas,WR,15,164,2016
Doug Baldwin,WR,16,162,2016
Jimmy Graham,TE,16,124,2016
Delanie Walker,TE,15,123,2016
Isaiah Crowell,RB,16,165,2016
Carlos Hyde,RB,13,165,2016
Spencer Ware,RB,14,161,2016
Lamar Miller,RB,14,160,2016
Tevin Coleman,RB,13,160,2016
Michael Crabtree,WR,16,152,2016
Amari Cooper,WR,16,151,2016
Dak Prescott,QB,16,293,2016
Cameron Brate,TE,15,114,2016
Martellus Bennett,TE,16,113,2016
Jeremy Hill,RB,15,155,2016
Todd Gurley,RB,16,155,2016
Rishard Matthews,WR,16,149,2016
Matt Forte,RB,14,154,2016
Tyrell Williams,WR,16,148,2016
Zach Ertz,TE,14,106,2016
Jordan Reed,TE,12,105,2016
Matthew Stafford,QB,16,282,2016
Bilal Powell,WR,16,139,2016
Terrelle Pryor,WR,16,138,2016
Tyreek Hill,WR,16,138,2016
Jarvis Landry,WR,16,137,2016
Larry Fitzgerald,WR,16,137,2016
Demaryius Thomas,WR,16,136,2016
Kelvin Benjamin,WR,16,134,2016
Dez Bryant,WR,13,134,2016
Emmanuel Sanders,WR,16,134,2016
Jonathan Stewart,RB,13,138,2016
Hunter Henry,TE,15,96,2016
Julian Edelman,WR,16,132,2016
Golden Tate,WR,16,132,2016
Antonio Gates,TE,14,95,2016
Terrance West,RB,16,137,2016
Mike Wallace,WR,16,131,2016
Tyrod Taylor,QB,15,271,2016
Derek Carr,QB,15,270,2016
Blake Bortles,QB,16,270,2016
Russell Wilson,QB,16,270,2016
Kenny Britt,WR,15,128,2016
Kenny Stills,WR,16,127,2016
Allen Robinson,WR,16,126,2016
Coby Fleener,TE,16,89,2016
Adam Thielen,WR,16,126,2016
Ryan Mathews,RB,13,132,2016
Marcus Mariota,QB,15,268,2016
Ben Roethlisberger,QB,14,266,2016
Philip Rivers,QB,16,263,2016
Jameis Winston,QB,16,262,2016
Tom Brady,QB,12,261,2016
Andy Dalton,QB,16,261,2016
Cam Newton,QB,15,260,2016
Carson Palmer,QB,15,249,2016
Joe Flacco,QB,16,244,2016
Eli Manning,QB,16,226,2016
Alex Smith,QB,15,226,2016
Sam Bradford,QB,15,223,2016
Carson Wentz,QB,16,217,2016
Colin Kaepernick,QB,12,200,2016
Trevor Siemian,QB,14,194,2016
Ryan Tannehill,QB,13,192,2016
Brock Osweiler,QB,15,168,2016
Ryan Fitzpatrick,QB,14,133,2016
Jamison Crowder,WR,16,125,2016
DeSean Jackson,WR,15,125,2016
Pierre Garcon,WR,16,122,2016
Brandon LaFell,WR,16,122,2016
Robert Kelley,RB,15,121,2016
A.J. Green,WR,10,120,2016
Willie Snead,WR,15,120,2016
DeAndre Hopkins,WR,16,119,2016
Sterling Shepard,WR,16,119,2016
Mike Gillislee,RB,15,117,2016
Marvin Jones,WR,15,117,2016
Christine Michael,RB,15,117,2016
Steve Smith,WR,14,116,2016
Cole Beasley,WR,16,114,2016
Case Keenum,QB,10,113,2016
Cameron Meredith,WR,14,113,2016
Devontae Booker,RB,16,112,2016
Quincy Enunwa,WR,16,111,2016
Darren Sproles,RB,15,111,2016
Stefon Diggs,WR,13,109,2016
Marqise Lee,WR,16,109,2016
Theo Riddick,RB,10,109,2016
Tim Hightower,RB,16,107,2016
Jerick McKinnon,RB,15,107,2016
JJ Nelson,WR,15,107,2016
Anquan Boldin,WR,16,106,2016
Taylor Gabriel,WR,13,105,2016
Ted Ginn,WR,16,105,2016
Dontrelle Inman,WR,16,105,2016
James White,RB,16,104,2016
Rashad Jennings,RB,13,103,2016
Jordan Matthews,WR,14,102,2016
DeVante Parker,WR,15,102,2016
Matt Asiata,RB,16,101,2016
Chris Thompson,RB,16,101,2016
Brandon Marshall,WR,15,97,2016
Ty Montgomery,RB,15,97,2016
Alshon Jeffery,WR,12,94,2016
Derrick Henry,RB,15,93,2016
Chris Hogan,WR,15,91,2016
Duke Johnson,RB,16,91,2016
Mohamed Sanu,WR,15,90,2016
Tavon Austin,WR,15,89,2016
Randall Cobb,WR,13,88,2016
T.J. Yeldon,RB,15,88,2016
C.J. Anderson,RB,7,87,2016
Jalen Richard,RB,16,87,2016
Jack Doyle,TE,16,86,2016
Travis Benjamin,WR,14,85,2016
DeAngelo Williams,RB,9,84,2016
Giovani Bernard,RB,10,83,2016
Eric Ebron,TE,13,83,2016
Jeremy Kerley,WR,16,83,2016
Tyler Lockett,WR,15,83,2016
Dennis Pitta,TE,16,83,2016
Jason Witten,TE,16,83,2016
Robert Turbin,RB,15,82,2016
Michael Floyd,WR,15,81,2016
Terrance Williams,WR,16,81,2016
Shaun Draughn,RB,16,80,2016
C.J. Fiedorowicz,TE,15,80,2016
Brian Hoyer,QB,6,80,2016
Dwayne Allen,TE,14,79,2016
Charles Clay,TE,15,79,2016
Cody Kessler,QB,9,79,2016
Adam Humphries,WR,15,78,2016
Jacquizz Rodgers,RB,10,78,2016
Eli Rogers,WR,13,78,2016
Gary Barnidge,TE,16,75,2016
Will Fuller,WR,14,75,2016
Chris Ivory,RB,11,75,2016
Zach Zenner,RB,14,75,2016
Brian Quick,WR,16,74,2016
Seth Roberts,WR,16,74,2016
Robby Anderson,WR,16,73,2016
Blaine Gabbert,QB,6,73,2016
Zach Miller,TE,10,73,2016
Donte Moncrief,WR,9,73,2016
Kenneth Dixon,RB,12,72,2016
Rob Gronkowski,TE,8,72,2016
Doug Martin,RB,8,72,2016
Matt Barkley,QB,7,71,2016
Tyler Boyd,WR,16,70,2016
Vernon Davis,WR,16,70,2016
Damien Williams,RB,15,70,2016
Tyler Eifert,TE,8,69,2016
Jeremy Maclin,WR,12,68,2016
Breshad Perriman,WR,16,68,2016
DeAndre Washington,RB,14,68,2016
Robert Woods,WR,13,68,2016
Matt Jones,RB,7,67,2016
Phillip Dorsett,WR,15,66,2016
Robert Griffin,QB,5,66,2016
Allen Hurns,WR,11,66,2016
Charcandrick West,RB,15,66,2016
John Brown,WR,15,65,2016
Malcolm Mitchell,RB,14,64,2016
Tajae Sharpe,WR,16,64,2016
Victor Cruz,WR,15,63,2016
Devin Funchess,WR,15,63,2016
Vance McDonald,TE,11,63,2016
Thomas Rawls,RB,9,63,2016
Cordarrelle Patterson,WR,16,62,2016
Paul Perkins,RB,14,62,2016
Marquise Goodwin,WR,15,61,2016
Kendall Wright,WR,11,61,2016
Corey Coleman,WR,10,60,2016
Lance Kendricks,TE,16,60,2016
Rex Burkhead,RB,16,59,2016
Sammie Coates,WR,14,57,2016
Jermaine Kearse,WR,16,57,2016
Matt Moore,QB,4,57,2016
Jesse James,TE,16,56,2016
Sammy Watkins,WR,8,55,2016
Travaris Cadet,RB,15,54,2016
Ryan Griffin,TE,16,54,2016
Jeremy Langford,RB,12,54,2016
Clive Walford,TE,15,54,2016
Chris Conley,WR,16,53,2016
Jared Goff,QB,7,53,2016
Nelson Agholor,WR,15,52,2016
Josh McCown,QB,5,52,2016
Julius Thomas,TE,9,52,2016
Garrett Celek,TE,16,51,2016
Dorial Green-Beckham,WR,15,51,2016
Jermaine Gresham,TE,16,51,2016
Albert Wilson,WR,16,51,2016
Alfred Blue,RB,14,50,2016
Andrew Hawkins,WR,16,50,2016
Dion Sims,TE,14,50,2016
Eddie Royal,WR,9,49,2016
Danny Amendola,WR,12,48,2016
Jay Cutler,QB,5,47,2016
Austin Hooper,TE,14,47,2016
Russell Shepard,WR,14,47,2016
Fozzy Whittaker,RB,16,47,2016
Brandon Coleman,WR,16,46,2016
Will Tye,TE,16,46,2016
