Tyler Boyd,Cin,WR,14,254.83,95%,-,52,0,0,0,3,0,0,76,1028,7,54,0,0,0,0
Julian Edelman,NE,WR,12,254.49,99%,-,53,43,0,0,107,0,7,74,850,6,41,154,0,0,0
Amari Cooper,Dal,WR,15,250.00,100%,-,55,0,0,0,20,0,1,75,1005,7,53,0,0,0,2
Baker Mayfield,Cle,QB,14,248.10,62%,-,57,3725,27,14,131,0,8,0,0,0,0,0,0,2,3
Chris Carson,Sea,RB,14,245.97,99%,-,58,0,0,0,1151,9,61,20,163,0,7,0,0,0,2
Calvin Ridley,Atl,WR,16,244.43,93%,-,59,0,0,0,27,0,1,64,821,10,39,50,0,0,1
Eli Manning,NYG,QB,16,242.96,1%,-,60,4299,21,11,20,1,5,0,0,0,0,0,0,3,4
Jarvis Landry,Cle,WR,16,239.79,83%,-,61,63,0,0,60,1,2,81,976,4,44,32,0,1,1
Kenny Golladay,Det,WR,15,237.67,98%,-,62,0,0,0,8,0,0,70,1063,5,56,0,0,0,0
Tevin Coleman,SF,RB,16,237.40,90%,-,63,0,0,0,800,4,36,32,276,5,15,0,0,0,0
Dede Westbrook,Jax,WR,16,236.90,77%,-,64,0,0,0,98,0,5,66,717,5,38,303,1,0,2
Adam Humphries,Ten,WR,16,235.10,5%,-,65,0,0,0,11,0,0,76,816,5,48,156,0,0,0
Josh Allen,Buf,QB,12,233.06,79%,-,66,2074,10,12,631,8,41,0,0,0,0,0,0,1,2
Nick Chubb,Cle,RB,16,229.53,100%,-,67,0,0,0,996,8,47,20,149,2,5,0,0,0,0
Derrick Henry,Ten,RB,16,229.06,99%,-,69,14,0,0,1059,12,51,15,99,0,4,0,0,0,1
Adrian Peterson,Was,RB,16,226.07,52%,-,71,0,0,0,1042,7,47,20,208,1,9,0,0,0,2
Jared Cook,NO,TE,16,221.73,49%,-,72,0,0,0,0,0,0,68,896,6,46,0,0,0,0
Case Keenum,Was,QB,16,220.90,5%,-,74,3890,18,15,93,2,10,0,0,0,0,0,0,0,2
Matthew Stafford,Det,QB,16,220.18,88%,-,75,3777,21,11,71,0,8,0,0,0,0,0,0,0,4
Derek Carr,Oak,QB,16,220.06,26%,-,76,4049,19,10,47,1,5,1,-9,0,0,0,0,1,7
Chris Godwin,TB,WR,16,219.13,99%,-,77,0,0,0,0,0,0,59,842,7,48,0,0,1,1
Alshon Jeffery,Phi,WR,13,217.20,92%,-,79,0,0,0,0,0,0,65,843,6,48,0,0,0,0
Jordan Howard,Phi,RB,16,217.17,82%,-,80,0,0,0,935,9,53,20,145,0,7,0,0,0,1
Emmanuel Sanders,SF,WR,12,214.29,85%,-,83,28,1,0,53,1,2,71,868,4,37,0,0,0,0
Mike Williams,LAC,WR,16,214.07,79%,-,84,0,0,0,28,1,2,43,664,10,36,0,0,1,0
Jameis Winston,TB,QB,11,212.78,76%,-,87,2992,19,14,281,1,19,0,0,0,0,0,0,0,3
Larry Fitzgerald,Ari,WR,16,212.21,90%,-,88,32,1,0,0,0,0,69,734,6,39,0,0,1,0
Sterling Shepard,NYG,WR,16,212.13,70%,-,89,0,0,0,33,0,1,66,872,4,47,27,0,1,0
Marlon Mack,Ind,RB,12,211.67,98%,-,90,0,0,0,908,9,50,17,103,1,3,0,0,2,2
Corey Davis,Ten,WR,16,210.90,62%,-,92,0,0,0,55,0,2,65,891,4,47,0,0,0,0
Mohamed Sanu,NE,WR,16,208.47,79%,-,94,5,1,0,44,0,5,66,838,4,41,0,0,1,1
Aaron Jones,GB,RB,12,203.53,100%,-,98,0,0,0,728,8,41,26,206,1,12,0,0,0,1
Carson Wentz,Phi,QB,11,203.53,94%,-,99,3074,21,7,93,0,9,1,4,0,1,0,0,1,6
Lamar Miller,Hou,RB,14,203.17,4%,-,101,0,0,0,973,5,36,25,163,1,8,0,0,0,1
Golden Tate,NYG,WR,15,201.20,78%,-,103,0,0,0,34,0,1,74,795,4,33,28,0,1,0
Matt Breida,SF,RB,14,199.80,88%,-,104,0,0,0,814,3,36,27,261,2,12,0,0,0,1
Blake Bortles,LAR,QB,13,199.22,0%,-,105,2718,13,11,365,1,28,0,0,0,0,0,0,0,4
T.J. Yeldon,Buf,RB,14,198.87,1%,-,106,0,0,0,414,1,16,55,487,4,20,0,0,0,1
Austin Ekeler,LAC,RB,14,198.33,97%,-,107,0,0,0,554,3,25,39,404,3,18,0,0,0,1
Marcus Mariota,Ten,QB,14,198.22,4%,-,108,2528,11,8,357,2,26,1,21,0,1,0,0,0,2
Nyheim Hines,Ind,RB,16,192.73,12%,-,110,0,0,0,314,2,17,63,425,2,29,0,0,0,0
Lamar Jackson,Bal,QB,16,192.54,99%,-,111,1201,6,3,695,5,45,0,0,0,0,0,0,0,4
Zay Jones,Oak,WR,16,190.47,3%,-,112,0,0,0,0,0,0,56,652,7,33,0,0,1,0
Sony Michel,NE,RB,13,190.13,97%,-,113,0,0,0,931,6,54,7,50,0,3,77,0,0,1
DJ Moore,Car,WR,16,188.83,89%,-,114,0,0,0,172,0,6,55,788,2,33,151,0,0,3
Andre Roberts,Buf,WR,16,186.07,0%,-,115,0,0,0,20,0,1,10,79,1,4,1498,2,0,1
Peyton Barber,TB,RB,16,184.23,38%,-,116,0,0,0,871,5,41,20,92,1,4,0,0,0,1
Cordarrelle Patterson,Chi,WR,15,182.57,1%,-,117,0,0,0,228,1,15,21,247,3,11,663,1,0,1
Dion Lewis,Ten,RB,16,182.37,13%,-,118,0,0,0,517,1,22,59,400,1,13,0,0,0,1
Sam Darnold,NYJ,QB,13,182.40,23%,-,119,2865,17,15,138,1,16,0,0,0,0,0,0,0,2
Demaryius Thomas,NYJ,WR,15,181.13,6%,-,120,0,0,0,0,0,0,59,677,5,37,0,0,0,0
