name,position,games,points,year
Tom Brady,QB,16,398,2007
LaDainian Tomlinson,RB,16,308,2007
Randy Moss,WR,16,287,2007
Brian Westbrook,RB,15,282,2007
Adrian Peterson,RB,14,239,2007
Terrell Owens,WR,15,226,2007
Braylon Edwards,WR,16,225,2007
Clinton Portis,RB,16,236,2007
Joseph Addai,RB,15,236,2007
Reggie Wayne,WR,16,211,2007
Jamal Lewis,RB,15,221,2007
Tony Romo,QB,16,299,2007
Larry Fitzgerald,WR,15,201,2007
Jason Witten,TE,16,157,2007
Chad Johnson,WR,16,197,2007
Antonio Gates,TE,16,152,2007
Tony Gonzalez,TE,16,147,2007
T.J. Houshmandzadeh,WR,16,188,2007
Marion Barber,RB,16,198,2007
Kellen Winslow,TE,16,143,2007
Marques Colston,WR,16,186,2007
Peyton Manning,QB,16,277,2007
Willis McGahee,RB,15,192,2007
Brandon Marshall,WR,16,180,2007
Frank Gore,RB,15,190,2007
Plaxico Burress,WR,16,175,2007
Dallas Clark,TE,15,131,2007
Edgerrin James,RB,16,185,2007
Chris Cooley,TE,16,129,2007
Earnest Graham,RB,15,182,2007
Ben Roethlisberger,QB,15,267,2007
Drew Brees,QB,16,265,2007
Wes Welker,WR,16,169,2007
Marshawn Lynch,RB,13,178,2007
Greg Jennings,WR,13,164,2007
Torry Holt,WR,16,163,2007
Matt Hasselbeck,QB,16,258,2007
Maurice Jones-Drew,RB,15,172,2007
Derek Anderson,QB,16,256,2007
Steven Jackson,RB,12,167,2007
Roddy White,WR,16,156,2007
LenDale White,RB,16,164,2007
Brett Favre,QB,16,249,2007
Bobby Engram,WR,16,151,2007
Willie Parker,RB,15,160,2007
Steve Smith,WR,15,149,2007
Ryan Grant,RB,15,158,2007
Kevin Curtis,WR,16,147,2007
Santonio Holmes,WR,13,146,2007
Fred Taylor,RB,15,156,2007
Kenny Watson,RB,16,156,2007
Chester Taylor,RB,14,155,2007
Brandon Jacobs,RB,11,154,2007
Heath Miller,TE,16,99,2007
Reggie Bush,WR,12,142,2007
Anquan Boldin,WR,12,141,2007
Derrick Mason,WR,16,139,2007
Owen Daniels,TE,16,95,2007
Joey Galloway,WR,15,138,2007
Donald Lee,TE,15,94,2007
Thomas Jones,RB,16,146,2007
Carson Palmer,QB,16,230,2007
Andre Johnson,WR,9,133,2007
Justin Fargas,RB,14,144,2007
Shaun McDonald,WR,16,131,2007
Dwayne Bowe,WR,16,130,2007
Jerricho Cotchery,WR,15,129,2007
Tony Scheffler,TE,16,85,2007
Bernard Berrian,WR,16,125,2007
Jeremy Shockey,TE,14,81,2007
Nate Burleson,WR,16,124,2007
Reggie Williams,WR,15,124,2007
Reagan Maui'a,,16,1,2007
Donovan McNabb,QB,14,219,2007
Jay Cutler,QB,16,218,2007
Desmond Clark,TE,16,79,2007
Fred McCrary,,6,,2007
Laurence Maroney,RB,13,133,2007
Kurt Warner,QB,14,218,2007
Jon Kitna,QB,16,202,2007
Eli Manning,QB,16,198,2007
David Garrard,QB,12,193,2007
Philip Rivers,QB,16,189,2007
Jason Campbell,QB,13,163,2007
Vince Young,QB,15,161,2007
Jeff Garcia,QB,13,159,2007
Tarvaris Jackson,QB,12,136,2007
Ronnie Brown,RB,7,131,2007
DeShaun Foster,RB,16,130,2007
Kevin Jones,RB,13,126,2007
Ron Dayne,RB,13,125,2007
Chris Chambers,WR,16,122,2007
Warrick Dunn,RB,16,120,2007
DeAngelo Williams,RB,16,119,2007
Hines Ward,WR,13,118,2007
Donald Driver,WR,15,117,2007
Cleo Lemon,QB,9,117,2007
Sage Rosenfels,QB,9,116,2007
Lee Evans,WR,16,115,2007
Adrian Peterson,RB,16,115,2007
Maurice Morris,RB,14,114,2007
Roy Williams,WR,12,114,2007
Matt Schaub,QB,11,113,2007
Patrick Crayton,WR,15,112,2007
Marc Bulger,QB,12,111,2007
Calvin Johnson,WR,15,111,2007
Najeh Davenport,RB,15,110,2007
Shaun Alexander,RB,13,109,2007
Damon Huard,QB,11,108,2007
Jerry Porter,WR,16,107,2007
Kevin Walter,WR,16,107,2007
Reggie Brown,WR,16,106,2007
Cedric Benson,RB,11,104,2007
Joey Harrington,QB,12,104,2007
Chad Pennington,QB,9,104,2007
Derrick Ward,RB,8,102,2007
Selvin Young,RB,15,102,2007
Laveranues Coles,WR,12,101,2007
Ronald Curry,WR,16,100,2007
Travis Henry,RB,12,100,2007
Santana Moss,WR,14,100,2007
Larry Johnson,RB,8,99,2007
LaMont Jordan,RB,12,98,2007
Isaac Bruce,WR,14,97,2007
David Patten,WR,16,97,2007
Arnaz Battle,WR,16,96,2007
Aaron Stecker,RB,16,96,2007
Kyle Boller,QB,12,95,2007
Jerious Norwood,RB,15,95,2007
Amani Toomer,WR,16,94,2007
Roydell Williams,WR,16,94,2007
Brandon Stokley,WR,13,93,2007
Brian Griese,QB,7,91,2007
Julius Jones,RB,16,91,2007
Deion Branch,WR,11,90,2007
Chris Brown,RB,12,89,2007
Donte' Stallworth,WR,16,89,2007
Justin Gage,WR,16,87,2007
Rudi Johnson,RB,11,87,2007
Dennis Northcutt,WR,15,87,2007
Daunte Culpepper,QB,7,85,2007
Kenton Keith,RB,16,85,2007
Trent Edwards,QB,10,82,2007
Bobby Wade,WR,16,82,2007
Joe Jurevicius,WR,16,81,2007
Antwaan Randle El,WR,15,81,2007
Vincent Jackson,WR,16,80,2007
James Jones,WR,16,80,2007
Josh McCown,QB,9,80,2007
Ike Hilliard,WR,15,79,2007
Kellen Clemens,QB,10,78,2007
Andre' Davis,WR,14,78,2007
Leon Washington,RB,16,78,2007
Michael Jenkins,WR,15,77,2007
Drew Carter,WR,16,76,2007
Anthony Gonzalez,WR,13,76,2007
Ben Watson,TE,12,76,2007
Vernon Davis,TE,14,75,2007
Jabar Gaffney,WR,16,75,2007
Quinn Gray,QB,8,75,2007
Muhsin Muhammad,WR,16,75,2007
Chris Redman,QB,7,75,2007
Nate Washington,WR,16,75,2007
Jesse Chatman,RB,14,74,2007
Alge Crumpler,TE,14,74,2007
Mike Furrey,WR,16,72,2007
Kevin Faulk,RB,16,71,2007
Ernest Wilford,WR,16,70,2007
Reuben Droughns,RB,16,68,2007
Darrell Jackson,WR,15,68,2007
Kolby Smith,,16,68,2007
Sidney Rice,WR,13,67,2007
Luke McCown,QB,5,66,2007
Bryant Johnson,WR,16,65,2007
Correll Buckhalter,RB,14,64,2007
Ladell Betts,RB,16,63,2007
Marty Booker,WR,15,63,2007
Brodie Croyle,QB,9,63,2007
J.P. Losman,QB,8,63,2007
Zach Miller,TE,16,62,2007
Rex Grossman,QB,8,61,2007
Devery Henderson,WR,16,61,2007
Randy McMichael,TE,16,61,2007
Sammy Morris,RB,6,60,2007
Chris Baker,TE,15,59,2007
Josh Reed,WR,15,59,2007
Jake Delhomme,QB,3,58,2007
Musa Smith,RB,16,58,2007
T.J. Duckett,RB,12,57,2007
Alex Smith,TE,14,57,2007
Jason Wright,RB,16,57,2007
Drew Bennett,WR,14,56,2007
Todd Collins,QB,4,56,2007
D.J. Hackett,WR,6,56,2007
Matt Jones,WR,12,56,2007
Ted Ginn,WR,16,54,2007
Leonard Pope,TE,13,54,2007
Pierre Thomas,RB,12,54,2007
Mark Clayton,WR,16,53,2007
Trent Dilfer,QB,7,53,2007
Jeff King,TE,16,53,2007
Greg Olsen,TE,14,53,2007
Samkon Gado,RB,8,52,2007
Leonard Weaver,RB,16,52,2007
DeShawn Wynn,RB,7,52,2007
Devard Darling,WR,16,51,2007
Derek Hagan,WR,16,51,2007
Marcedes Lewis,TE,16,51,2007
Ahman Green,RB,6,50,2007
Eric Johnson,TE,14,50,2007
Laurent Robinson,WR,15,50,2007
Trent Green,QB,5,49,2007
Fred Jackson,QB,8,49,2007
Brian Leonard,RB,16,49,2007
Lance Moore,WR,16,49,2007
Roscoe Parrish,WR,16,49,2007
Brad Smith,QB,16,49,2007
Ruvell Martin,WR,15,48,2007
Steve McNair,QB,6,48,2007
Michael Pittman,RB,10,48,2007
Bo Scaife,TE,16,48,2007
Vinny Testaverde,QB,7,48,2007
Gus Frerotte,QB,8,47,2007
Michael Bennett,RB,14,46,2007
Chris Henry,WR,8,46,2007
Brandon Jackson,RB,11,46,2007
Greg Jones,RB,16,46,2007
Robert Ferguson,WR,15,45,2007
Shaun Hill,QB,3,45,2007
Greg Lewis,WR,15,45,2007
Billy Miller,TE,16,45,2007
Alex Smith,QB,7,45,2007
Jerheme Urban,WR,10,45,2007
Dominic Rhodes,RB,10,43,2007
Robert Royal,RB,16,43,2007
Jerramy Stevens,TE,14,43,2007
Darius Walker,RB,4,43,2007
David Martin,TE,15,42,2007
Samie Parker,WR,15,42,2007
Ben Utecht,TE,14,42,2007
Andre Hall,RB,10,41,2007
Devin Hester,WR,16,41,2007
Brandon Jones,WR,9,41,2007
Marcus Pollard,TE,14,41,2007
Cadillac Williams,RB,4,41,2007
Jason Avant,WR,15,39,2007
Michael Turner,RB,16,39,2007
J.J. Arrington,RB,16,38,2007
Mike Sellers,RB,14,38,2007
Visanthe Shiancoe,TE,16,38,2007
Jeff Webb,WR,16,38,2007
Daniel Graham,TE,15,37,2007
Sam Hurd,WR,16,37,2007
Troy Smith,QB,4,37,2007
Lorenzo Booker,RB,7,36,2007
Justin Peelle,WR,16,35,2007
Heath Evans,RB,16,34,2007
A.J. Feeley,QB,3,34,2007
Michael Gaines,TE,15,34,2007
Eric Moulds,WR,16,34,2007
David Carr,QB,6,33,2007
Keary Colbert,WR,12,33,2007
Troy Williamson,WR,11,33,2007
Michael Clayton,WR,14,32,2007
Keenan McCardell,WR,10,32,2007
Matt Moore,QB,9,32,2007
Darren Sproles,RB,15,32,2007
Cedrick Wilson,WR,16,32,2007
Tatum Bell,RB,5,31,2007
Bubba Franks,TE,8,31,2007
Marvin Harrison,WR,5,31,2007
Vernand Morency,RB,13,31,2007
Koren Robinson,WR,9,31,2007
Quinn Sypniewski,TE,15,31,2007
John Beck,QB,5,30,2007
Todd Heap,TE,6,30,2007
Joe Horn,WR,12,30,2007
Matt Leinart,QB,5,30,2007
L.J. Smith,TE,10,30,2007
Chris Henry,RB,7,29,2007
Vonta Leach,RB,16,29,2007
Kyle Orton,QB,3,29,2007
Cecil Sapp,RB,16,29,2007
Demetrius Williams,WR,9,29,2007
Greg Camarillo,WR,15,28,2007
Javon Walker,WR,8,28,2007
Kelly Holcomb,QB,3,27,2007
Ahmad Bradshaw,RB,12,26,2007
Craig Davis,WR,13,26,2007
Will Heller,TE,16,26,2007
Maurice Hicks,RB,16,26,2007
Terrance Copper,WR,15,25,2007
Justin Griffith,RB,16,25,2007
Sean McHugh,TE,15,25,2007
Lawrence Vickers,RB,16,25,2007
Kris Wilson,TE,16,25,2007
Kevin Boss,TE,13,24,2007
Brent Celek,TE,16,24,2007
Ben Obomanu,WR,13,24,2007
Anthony Thomas,RB,10,24,2007
Tim Dwight,WR,6,23,2007
Justin McCareins,WR,16,23,2007
Sinorice Moss,WR,13,23,2007
Dante Rosario,TE,16,23,2007
James Thrash,WR,12,23,2007
Delanie Walker,TE,16,23,2007
Kyle Eckel,RB,12,22,2007
Mike Karney,RB,16,22,2007
Brooks Bollinger,QB,5,21,2007
Antonio Chatman,WR,13,21,2007
Kerry Collins,QB,6,21,2007
Glenn Holt,WR,16,21,2007
Reggie Kelly,TE,15,21,2007
Matt Spaeth,TE,14,21,2007
Seneca Wallace,QB,10,21,2007
Hank Baskett,WR,16,20,2007
Tony Curtis,TE,16,20,2007
De Dorsey,RB,12,20,2007
Anthony Fasano,TE,16,20,2007
Garrett Wolfe,RB,13,20,2007
David Anderson,WR,8,19,2007
Kyle Brady,TE,14,19,2007
John Broussard,WR,8,19,2007
Ben Patrick,TE,8,19,2007
Michael Robinson,RB,15,19,2007
B.J. Askew,RB,13,18,2007
Tim Carter,WR,16,18,2007
Joel Dreessen,TE,13,18,2007
Glenn Martinez,WR,12,18,2007
George Wrighster,TE,11,18,2007
Aveion Cason,RB,12,17,2007
Rashied Davis,WR,16,17,2007
Priest Holmes,RB,4,17,2007
JaMarcus Russell,QB,4,17,2007
Matt Schobel,TE,15,17,2007
Christian Fauria,TE,15,16,2007
Bryan Fletcher,TE,15,16,2007
Jerome Harrison,RB,8,16,2007
John Madsen,WR,16,16,2007
Mewelde Moore,RB,12,16,2007
Aaron Rodgers,QB,2,16,2007
Troy Walters,WR,13,16,2007
Todd Yoder,TE,15,16,2007
Casey Fitzsimmons,TE,16,15,2007
Jacoby Jones,WR,14,15,2007
Brandon Manumaleuna,WR,16,15,2007
Travis Minor,RB,14,15,2007
Antonio Pittman,RB,11,15,2007
Maurice Stovall,WR,15,15,2007
Richard Angulo,TE,5,14,2007
Anthony Becht,TE,16,14,2007
Reche Caldwell,WR,8,14,2007
Clifton Dawson,RB,13,14,2007
Greg Estandia,TE,10,14,2007
Ben Hartsock,TE,16,14,2007
Sean Morey,WR,15,14,2007
Aundrae Allison,WR,11,13,2007
Mark Bradley,WR,15,13,2007
Patrick Cobbs,RB,14,13,2007
Le'Ron McClain,RB,16,13,2007
Brandon Middleton,WR,5,13,2007
Patrick Ramsey,QB,2,13,2007
Tim Rattay,QB,4,13,2007
Cory Ross,RB,6,13,2007
Marcel Shipp,RB,16,13,2007
Craphonso Thorpe,WR,5,13,2007
Daniel Coats,TE,15,12,2007
Josh Cribbs,WR,16,12,2007
Carey Davis,RB,16,12,2007
Adam Jennings,WR,16,12,2007
Jeremi Johnson,RB,16,12,2007
Byron Leftwich,QB,3,12,2007
Ashley Lelie,WR,15,12,2007
Lorenzo Neal,RB,13,12,2007
Charlie Batch,QB,7,11,2007
Jackie Battle,RB,3,11,2007
Troy Bienemann,WR,16,11,2007
Eddie Kennison,WR,8,11,2007
Deuce McAllister,RB,3,11,2007
Jason McKie,RB,16,11,2007
Dwayne Wright,RB,15,11,2007
Devin Aromashodu,WR,6,10,2007
Steve Breaston,WR,16,10,2007
Adimchinobe Echemandu,RB,9,10,2007
Malcom Floyd,WR,6,10,2007
Bryan Gilmore,WR,10,10,2007
Marques Hagans,WR,4,10,2007
Steve Heiden,TE,16,10,2007
Brad Hoover,RB,16,10,2007
Jim Kleinsasser,TE,16,10,2007
Joe Klopfenstein,RB,16,10,2007
Luke Lawton,RB,11,10,2007
Ovie Mughelli,RB,16,10,2007
Jeb Putzier,TE,8,10,2007
Tony Richardson,RB,14,10,2007
Jason Snelling,RB,7,10,2007
Mike Anderson,RB,8,9,2007
Nate Jackson,TE,5,9,2007
Taylor Jacobs,WR,10,9,2007
Jim Sorgi,QB,4,9,2007
Mack Strong,RB,5,9,2007
LaBrandon Toefield,RB,2,9,2007
Mike Williams,WR,8,9,2007
Wallace Wright,WR,16,9,2007
Miles Austin,WR,16,8,2007
Tony Hunt,RB,8,8,2007
Dwayne Jarrett,WR,7,8,2007
Joe Kowalewski,TE,13,8,2007
Chad Lucas,WR,2,8,2007
Craig Nall,QB,1,8,2007
Chris Weinke,QB,2,8,2007
Daniel Wilcox,TE,5,8,2007
Brian Calhoun,RB,4,7,2007
Matt Cassel,QB,6,7,2007
Ahmard Hall,RB,11,7,2007
Aaron Moorehead,WR,8,7,2007
Legedu Naanee,RB,13,7,2007
Peerless Price,WR,4,7,2007
Thomas Tapeh,RB,16,7,2007
Jerame Tuman,TE,6,7,2007
Deon Anderson,RB,8,6,2007
Jameel Cook,RB,16,6,2007
Chris Davis,WR,12,6,2007
Jeff Dugan,TE,16,6,2007
Chad Mustard,TE,12,6,2007
Moran Norris,RB,16,6,2007
Steve Smith,WR,5,6,2007
Terrelle Smith,RB,16,6,2007
Dwayne Blakley,WR,12,5,2007
Bruce Gradkowski,QB,4,5,2007
Dante Hall,WR,7,5,2007
Korey Hall,RB,14,5,2007
Gilbert Harris,RB,4,5,2007
Madison Hedgecock,RB,16,5,2007
Johnnie Lee Higgins,WR,16,5,2007
Martrez Milner,TE,8,5,2007
J.T. O'Sullivan,QB,4,5,2007
Artose Pinner,RB,7,5,2007
Willie Reid,WR,6,5,2007
Sean Ryan,TE,10,5,2007
Tyson Thompson,RB,8,5,2007
Ben Troupe,TE,16,5,2007
Dominique Byrd,TE,9,4,2007
Yamon Figurs,WR,14,4,2007
Dane Looker,WR,13,4,2007
Anthony Mix,WR,9,4,2007
Ryne Robinson,WR,16,4,2007
Courtney Taylor,WR,8,4,2007
David Tyree,WR,12,4,2007
Brock Berlin,QB,1,3,2007
Kenneth Darby,RB,1,3,2007
Skyler Green,WR,7,3,2007
Brad Johnson,QB,16,3,2007
Michael Matthews,TE,16,3,2007
Garrett Mills,TE,1,3,2007
Chris Barclay,RB,5,2,2007
Jon Bradley,RB,15,2,2007
Brian Clark,WR,5,2,2007
Justin Green,RB,15,2,2007
Alex Haynes,RB,10,2,2007
Dan Kreider,RB,10,2,2007
Jerome Mathis,WR,3,2,2007
Chris McFoy,WR,3,2,2007
Kassim Osgood,WR,16,2,2007
Tab Perry,WR,2,2,2007
Brady Quinn,QB,1,2,2007
Gary Russell,RB,3,2,2007
Derek Schouman,TE,3,2,2007
Naufahu Tahi,RB,10,2,2007
Andrew Walter,QB,1,2,2007
Ricky Williams,RB,1,2,2007
Sam Aiken,WR,12,1,2007
Mike Bell,RB,5,1,2007
Shaun Bodiford,WR,6,1,2007
Chris Davis,WR,2,1,2007
Darnell Dinkins,TE,15,1,2007
Jason Dunn,TE,16,1,2007
Biren Ealy,WR,4,1,2007
John Gilmore,TE,15,1,2007
Boomer Grigsby,RB,13,1,2007
Aaron Halterman,TE,9,1,2007
Verron Haynes,RB,1,1,2007
Jason Hill,WR,5,1,2007
Brian Kozlowski,TE,3,1,2007
Ryan Krause,TE,9,1,2007
John Kuhn,RB,16,1,2007
Brandon Lloyd,WR,8,1,2007
Jared Lorenzen,QB,2,1,2007
Reno Mahe,RB,15,1,2007
Marcus Maxwell,WR,5,1,2007
Ryan Neufeld,TE,9,1,2007
John Owens,TE,15,1,2007
Richard Owens,RB,14,1,2007
Andrew Pinnock,RB,10,1,2007
Jason Pociask,TE,4,1,2007
Isaac Smolko,TE,6,1,2007
Derek Stanley,WR,3,1,2007
David Thomas,TE,2,1,2007
Aaron Walker,TE,7,1,2007
Matt Willis,WR,5,1,2007
Rich Alexis,,1,,2007
Charles Ali,,13,,2007
Courtney Anderson,,4,,2007
Billy Bajema,,14,,2007
Darian Barnes,,5,,2007
Todd Bouman,,1,,2007
Jamaal Branch,,4,,2007
Troy Brown,,1,,2007
Mark Bruener,,14,,2007
Dan Campbell,TE,2,,2007
Rock Cartwright,RB,15,,2007
Scott Chandler,,1,,2007
Brad Cieslak,,2,,2007
Casey Cramer,,5,,2007
Zack Crockett,RB,1,,2007
P.J. Daniels,,1,,2007
James Dearth,,16,,2007
John Dekker,,3,,2007
Ken Dorsey,,1,,2007
Robert Douglas,,1,,2007
Eddie Drummond,WR,12,,2007
Patrick Estes,,1,,2007
Tim Euhus,,10,,2007
Kevin Everett,TE,1,,2007
Jimmy Farris,,2,,2007
Ryan Fitzpatrick,,1,,2007
Chris Francies,,1,,2007
Quinton Ganther,,2,,2007
Michael Gasperson,,1,,2007
Lionel Gates,,1,,2007
Chas Gessner,,1,,2007
Ronnie Ghent,,8,,2007
Terry Glenn,,1,,2007
Nick Goings,,4,,2007
Roy Hall,,3,,2007
Mike Hass,,1,,2007
Tim Hasselbeck,QB,1,,2007
Keith Heinrich,,4,,2007
Domenik Hixon,WR,16,,2007
Nathan Hodel,,16,,2007
Carlyle Holiday,,1,,2007
Oliver Hoyte,RB,10,,2007
Chad Jackson,,2,,2007
Justin Jenkins,,11,,2007
Brian Jennings,,16,,2007
Kyle Johnson,,1,,2007
Bennie Joppru,,13,,2007
Zak Keasey,RB,13,,2007
David Kirtman,,6,,2007
Kevin Kolb,QB,1,,2007
Nate Lawrie,,3,,2007
Mike Leach,,16,,2007
Jamie Martin,QB,3,,2007
Tim Massaquoi,,4,,2007
Corey McIntyre,,14,,2007
Matt Murphy,,2,,2007
Jake Nordin,,1,,2007
Oren O'Neal,RB,14,,2007
Chad Owens,,1,,2007
Montell Owens,,16,,2007
Patrick Pass,,1,,2007
Alvin Pearman,RB,3,,2007
Lousaka Polite,,5,,2007
Derek Rackley,,5,,2007
Jamaica Rector,,2,,2007
Kerry Reed,,1,,2007
Marcellus Rivers,,3,,2007
Jeff Robinson,,3,,2007
Jeff Rowe,,2,,2007
Bobby Sippio,,9,,2007
Paul Smith,,14,,2007
Justin Snow,,16,,2007
Stephen Spach,,3,,2007
Micheal Spurlock,,7,,2007
Isaiah Stanback,,2,,2007
Tony Stewart,,16,,2007
Brad St. Louis,,16,,2007
Byron Storer,RB,9,,2007
Boone Stutz,,12,,2007
Rudy Sylvan,,2,,2007
