name,position,games,points,year
Chris Johnson,RB,16,349,2009
Adrian Peterson,RB,16,290,2009
Maurice Jones-Drew,RB,16,273,2009
Aaron Rodgers,QB,16,351,2009
Ray Rice,RB,16,252,2009
Andre Johnson,WR,16,214,2009
Randy Moss,WR,16,206,2009
Frank Gore,RB,14,231,2009
Thomas Jones,RB,16,230,2009
Miles Austin,WR,16,198,2009
Vernon Davis,TE,16,175,2009
DeSean Jackson,WR,15,189,2009
Dallas Clark,TE,16,172,2009
Larry Fitzgerald,WR,16,187,2009
Drew Brees,QB,15,306,2009
Ricky Williams,RB,16,217,2009
Reggie Wayne,WR,16,184,2009
Roddy White,WR,16,182,2009
Antonio Gates,TE,16,164,2009
Ryan Grant,RB,16,211,2009
Sidney Rice,WR,16,179,2009
Brandon Marshall,WR,15,176,2009
Fred Jackson,WR,16,172,2009
Vincent Jackson,WR,15,172,2009
Joseph Addai,RB,15,199,2009
Steven Jackson,RB,15,198,2009
Brett Favre,QB,16,287,2009
Matt Schaub,QB,16,285,2009
Steve Smith,WR,16,164,2009
Wes Welker,WR,14,162,2009
Brent Celek,TE,16,145,2009
Jonathan Stewart,RB,16,193,2009
Marques Colston,WR,16,162,2009
Chad Johnson,,16,162,2009
Tony Romo,QB,16,282,2009
Jamaal Charles,RB,15,192,2009
Peyton Manning,QB,16,279,2009
Santonio Holmes,WR,16,155,2009
Philip Rivers,QB,16,275,2009
Tom Brady,QB,16,274,2009
Rashard Mendenhall,RB,16,185,2009
Ben Roethlisberger,QB,15,273,2009
Hines Ward,WR,16,153,2009
DeAngelo Williams,RB,13,181,2009
Derrick Mason,WR,16,145,2009
Steve Smith,WR,15,144,2009
Donald Driver,WR,16,143,2009
Cedric Benson,RB,13,172,2009
Tony Gonzalez,TE,16,123,2009
Visanthe Shiancoe,TE,16,123,2009
Greg Jennings,WR,16,139,2009
Knowshon Moreno,RB,16,170,2009
Kellen Winslow,TE,16,121,2009
Calvin Johnson,WR,14,136,2009
Matt Forte,RB,16,166,2009
Robert Meachem,WR,16,134,2009
Anquan Boldin,WR,15,134,2009
Jason Witten,TE,16,115,2009
Heath Miller,TE,16,115,2009
LaDainian Tomlinson,RB,14,160,2009
Mike Sims-Walker,WR,15,129,2009
Percy Harvin,WR,15,129,2009
Eli Manning,QB,16,247,2009
Greg Olsen,TE,16,109,2009
Pierre Thomas,RB,14,158,2009
Marion Barber,RB,15,157,2009
Terrell Owens,WR,16,124,2009
Reggie Bush,WR,14,121,2009
Donovan McNabb,QB,14,240,2009
Michael Turner,RB,11,151,2009
Tim Hightower,RB,16,151,2009
Jerome Harrison,RB,14,150,2009
John Carlson,TE,16,99,2009
Mike Wallace,WR,16,116,2009
Zach Miller,TE,15,99,2009
David Garrard,QB,16,236,2009
Hakeem Nicks,WR,14,116,2009
Willis McGahee,RB,16,147,2009
Jay Cutler,QB,16,230,2009
Kurt Warner,QB,15,227,2009
Jason Campbell,QB,16,224,2009
Kyle Orton,QB,16,219,2009
Carson Palmer,QB,16,213,2009
Joe Flacco,QB,16,210,2009
Matt Ryan,QB,14,188,2009
Matt Cassel,QB,15,170,2009
Matt Hasselbeck,QB,14,167,2009
Alex Smith,QB,11,147,2009
Kevin Smith,RB,13,146,2009
Cadillac Williams,RB,16,146,2009
Chad Henne,QB,14,144,2009
Ahmad Bradshaw,RB,15,141,2009
Vince Young,QB,12,141,2009
Laurence Maroney,RB,15,140,2009
Brandon Jacobs,RB,15,138,2009
Mark Sanchez,QB,15,138,2009
Beanie Wells,RB,16,136,2009
Ronnie Brown,RB,9,127,2009
Justin Forsett,RB,16,127,2009
Steve Slaton,RB,11,127,2009
