name,position,games,points,year
Priest Holmes,RB,14,372,2002
Ricky Williams,RB,16,317,2002
LaDainian Tomlinson,RB,16,304,2002
Clinton Portis,RB,16,284,2002
Shaun Alexander,RB,16,269,2002
Deuce McAllister,RB,15,266,2002
Marvin Harrison,WR,16,241,2002
Charlie Garner,RB,16,256,2002
Tiki Barber,RB,16,255,2002
Travis Henry,RB,16,248,2002
Hines Ward,WR,16,226,2002
Terrell Owens,WR,14,222,2002
Eddie George,RB,16,225,2002
Rich Gannon,QB,16,300,2002
Fred Taylor,RB,16,219,2002
Ahman Green,RB,14,213,2002
Jamal Lewis,RB,16,211,2002
Eric Moulds,WR,16,189,2002
Marshall Faulk,RB,14,205,2002
Randy Moss,WR,16,185,2002
Michael Vick,QB,15,284,2002
Duce Staley,RB,16,204,2002
Todd Heap,TE,16,125,2002
Amani Toomer,WR,16,183,2002
Daunte Culpepper,QB,16,280,2002
Corey Dillon,RB,16,198,2002
Michael Bennett,RB,16,197,2002
Tony Gonzalez,TE,16,119,2002
Peerless Price,WR,16,176,2002
Marcel Shipp,WR,15,175,2002
Plaxico Burress,WR,16,175,2002
Joe Horn,WR,16,174,2002
Curtis Martin,RB,16,190,2002
Donald Driver,WR,16,166,2002
Peyton Manning,QB,16,263,2002
Jerry Rice,WR,16,164,2002
Garrison Hearst,RB,16,181,2002
Laveranues Coles,WR,16,161,2002
Warrick Dunn,RB,15,180,2002
Marty Booker,WR,16,161,2002
Jeff Garcia,QB,16,257,2002
Koren Robinson,WR,16,158,2002
Jeremy Shockey,TE,15,98,2002
Trent Green,QB,16,255,2002
Torry Holt,WR,16,155,2002
Aaron Brooks,QB,16,251,2002
James Stewart,RB,14,171,2002
Antowain Smith,RB,16,171,2002
Bubba Franks,TE,16,91,2002
Drew Bledsoe,QB,16,248,2002
Isaac Bruce,WR,16,149,2002
Steve McNair,QB,16,246,2002
Rod Gardner,WR,16,148,2002
Jimmy Smith,WR,16,147,2002
Chad Johnson,WR,16,147,2002
Tom Brady,QB,16,245,2002
Shannon Sharpe,TE,13,87,2002
Marcus Pollard,TE,15,85,2002
Keyshawn Johnson,WR,16,143,2002
Billy Miller,TE,16,79,2002
Quincy Morgan,WR,16,137,2002
Alge Crumpler,TE,16,76,2002
Travis Taylor,WR,16,133,2002
Rod Smith,WR,16,133,2002
Curtis Conway,WR,13,131,2002
Randy McMichael,TE,16,72,2002
Edgerrin James,RB,14,148,2002
Derrick Mason,WR,14,129,2002
Donovan McNabb,QB,10,228,2002
Kyle Brady,TE,16,70,2002
Joey Galloway,WR,16,128,2002
Christian Fauria,TE,16,69,2002
Jerry Porter,WR,16,127,2002
James Thrash,WR,16,123,2002
Wayne Chrebet,WR,15,121,2002
Stephen Davis,RB,12,140,2002
Tony Carter,,12,,2002
Harold Morrow,,16,,2002
Brett Favre,QB,16,220,2002
Chad Pennington,QB,15,218,2002
Kerry Collins,QB,16,205,2002
Brad Johnson,QB,13,197,2002
Drew Brees,QB,16,186,2002
Mark Brunell,QB,15,185,2002
Matt Hasselbeck,QB,16,184,2002
Jake Plummer,QB,16,180,2002
Jon Kitna,QB,14,179,2002
Brian Griese,QB,13,173,2002
Tommy Maddox,QB,15,164,2002
Tim Couch,QB,14,153,2002
Jay Fiedler,QB,11,144,2002
David Carr,QB,16,139,2002
Emmitt Smith,RB,16,133,2002
William Green,RB,16,132,2002
Moe Williams,RB,16,132,2002
Amos Zereoue,RB,16,132,2002
Lamar Smith,RB,11,130,2002
Rodney Peete,QB,14,129,2002
Jerome Bettis,RB,13,125,2002
Jeff Blake,QB,11,124,2002
Michael Pittman,RB,16,123,2002
Marc Bulger,QB,7,120,2002
Dennis Northcutt,WR,13,119,2002
Anthony Thomas,RB,12,119,2002
Brian Finneran,WR,16,118,2002
Todd Pinkston,WR,15,118,2002
Mike Alstott,RB,16,117,2002
David Patten,WR,16,113,2002
Steve Smith,WR,15,112,2002
Antonio Bryant,WR,16,110,2002
Jamel White,RB,14,110,2002
Kevan Barlow,RB,14,109,2002
Darrell Jackson,WR,13,109,2002
Eddie Kennison,WR,16,108,2002
Donte' Stallworth,WR,13,108,2002
Jim Miller,QB,10,107,2002
Derrius Thompson,WR,16,107,2002
Troy Brown,WR,14,106,2002
Kevin Faulk,RB,15,106,2002
Joey Harrington,QB,14,106,2002
Stacey Mack,RB,16,106,2002
Corey Bradford,WR,16,105,2002
Tai Streets,WR,16,105,2002
Tim Brown,WR,16,104,2002
Ed McCaffrey,WR,16,104,2002
Muhsin Muhammad,WR,14,104,2002
Keenan McCardell,WR,14,102,2002
Kevin Johnson,WR,16,100,2002
Chris Chambers,WR,15,98,2002
Peter Warrick,WR,15,97,2002
Reggie Wayne,WR,16,94,2002
Terry Glenn,WR,15,93,2002
Bill Schroeder,WR,14,92,2002
D'Wayne Bates,WR,14,91,2002
Kenny Watson,RB,16,91,2002
Marc Boerigter,WR,16,90,2002
Tim Dwight,WR,16,90,2002
Dez White,WR,16,90,2002
James Allen,RB,16,87,2002
James Mungro,RB,9,87,2002
Kordell Stewart,QB,7,87,2002
Andre' Davis,WR,16,84,2002
Antonio Freeman,WR,16,84,2002
Shane Matthews,QB,8,83,2002
Santana Moss,WR,15,82,2002
Antwaan Randle El,WR,16,82,2002
T.J. Duckett,RB,12,81,2002
Patrick Ramsey,QB,9,80,2002
Az-Zahir Hakim,WR,10,78,2002
Mike Anderson,RB,15,77,2002
Jerome Pathon,WR,14,76,2002
Quincy Carter,QB,7,75,2002
Jonathan Wells,RB,16,73,2002
Dante Hall,WR,16,71,2002
Thomas Jones,RB,9,71,2002
Mike McMahon,QB,8,71,2002
Ricky Proehl,WR,16,71,2002
Chad Hutchinson,QB,9,70,2002
Dee Brown,RB,14,69,2002
Kevin Dyson,WR,11,69,2002
Ashley Lelie,WR,16,69,2002
James McKnight,WR,15,69,2002
Bobby Engram,WR,15,66,2002
Ron Dayne,RB,16,65,2002
Lamar Gordon,RB,13,65,2002
Joe Jurevicius,WR,15,65,2002
Dorsey Levens,RB,16,65,2002
Qadry Ismail,WR,14,64,2002
Bobby Shaw,WR,16,64,2002
Ernie Conwell,TE,16,63,2002
LaMont Jordan,RB,14,62,2002
Ray Lucas,QB,7,62,2002
Itula Mili,TE,16,62,2002
Josh Reed,WR,16,62,2002
Jabar Gaffney,WR,16,61,2002
Drew Bennett,WR,16,60,2002
David Boston,WR,8,60,2002
Deion Branch,WR,13,60,2002
Zack Crockett,RB,16,60,2002
Chad Lewis,TE,16,60,2002
Tyrone Wheatley,RB,14,60,2002
Chris Redman,QB,6,59,2002
Johnnie Morton,WR,14,58,2002
Trevor Gaylor,WR,13,57,2002
Stephen Alexander,TE,14,56,2002
Anthony Becht,TE,16,56,2002
Larry Centers,RB,16,56,2002
Kelly Holcomb,QB,4,56,2002
Jamie Martin,QB,5,55,2002
Steve Beuerlein,QB,8,54,2002
Frank Sanders,WR,12,54,2002
A.J. Feeley,QB,6,53,2002
Doug Jolley,TE,16,53,2002
Jake Reed,WR,14,53,2002
Aveion Cason,RB,10,52,2002
Trent Dilfer,QB,6,52,2002
T.J. Houshmandzadeh,WR,16,52,2002
Mikhael Ricks,TE,14,52,2002
Ike Hilliard,WR,7,51,2002
Ladell Betts,RB,11,50,2002
Cory Schlesinger,RB,16,50,2002
Brandon Stokley,WR,8,50,2002
Chris Chandler,QB,9,49,2002
Ron Dixon,WR,10,49,2002
Leon Johnson,RB,16,49,2002
Kevin Lockett,WR,13,48,2002
Wesley Walls,TE,15,48,2002
Robert Ferguson,WR,16,47,2002
Jim Kleinsasser,RB,14,47,2002
Bob Christian,RB,15,46,2002
Troy Hambrick,RB,16,46,2002
Frank Wycheck,TE,15,46,2002
Tony Fisher,RB,15,45,2002
Shawn Jefferson,WR,13,45,2002
Ken Dilger,TE,16,44,2002
William Henderson,RB,15,44,2002
Justin McCareins,WR,16,44,2002
Brad Hoover,RB,16,43,2002
Kurt Warner,QB,7,43,2002
Ron Dugans,WR,16,42,2002
Freddie Jones,TE,16,42,2002
Jason McAddley,WR,9,42,2002
Marcus Robinson,WR,16,42,2002
John Simon,RB,12,42,2002
Jerramy Stevens,TE,12,42,2002
Reche Caldwell,WR,16,40,2002
Rob Konrad,RB,16,40,2002
Byron Chamberlain,TE,13,39,2002
J.J. Stokes,WR,13,39,2002
MarTay Jenkins,WR,8,38,2002
Darnerien McCants,WR,9,38,2002
Tony Richardson,RB,14,38,2002
Chester Taylor,RB,15,38,2002
Javon Walker,WR,15,38,2002
Scotty Anderson,WR,16,37,2002
John Davis,TE,10,37,2002
Rickey Dudley,TE,14,37,2002
Kevin Kasper,WR,13,37,2002
Pete Mitchell,TE,16,37,2002
Michael Wiley,RB,16,37,2002
Kelly Campbell,WR,6,36,2002
Mark Campbell,TE,16,36,2002
Olandis Gary,RB,13,36,2002
Robert Edwards,RB,12,35,2002
Tony McGee,TE,16,35,2002
Jay Riemersma,TE,16,35,2002
Richie Anderson,RB,16,34,2002
David Garrard,QB,4,34,2002
Michael Lewis,WR,16,34,2002
Terance Mathis,WR,16,34,2002
Danny Wuerffel,QB,7,34,2002
Terry Kirby,RB,6,33,2002
Eric Parker,WR,9,33,2002
Matt Schobel,TE,16,33,2002
Mack Strong,RB,16,33,2002
Chris Doering,WR,15,32,2002
Robert Holcombe,RB,8,32,2002
Eric Johnson,TE,12,32,2002
Joel Makovicka,RB,12,32,2002
Quentin McCord,WR,9,31,2002
David Terrell,WR,5,31,2002
Brian Westbrook,RB,15,31,2002
Brandon Bennett,RB,12,30,2002
Willie Jackson,WR,12,30,2002
Patrick Johnson,WR,9,30,2002
Travis Minor,RB,16,30,2002
Fred Beasley,RB,16,29,2002
Troy Edwards,WR,14,29,2002
Darnay Scott,WR,15,29,2002
Mike Cloud,RB,14,28,2002
JaJuan Dawson,WR,14,28,2002
Marc Edwards,RB,16,28,2002
Nick Goings,RB,14,28,2002
Vinny Testaverde,QB,5,28,2002
Boo Williams,TE,16,28,2002
Najeh Davenport,RB,8,27,2002
Rob Johnson,QB,6,27,2002
Fred McCrary,RB,16,27,2002
Germane Crowell,WR,10,26,2002
Zeron Flemister,TE,15,26,2002
Dave Moore,TE,14,26,2002
Josh Norman,TE,11,26,2002
Charles Stackhouse,RB,16,26,2002
Jed Weaver,TE,16,26,2002
Dwayne Carswell,TE,16,25,2002
Terrell Fletcher,RB,10,25,2002
Donald Hayes,WR,12,25,2002
Doug Johnson,QB,6,25,2002
Jeff Thomason,TE,16,25,2002
Dan Campbell,TE,16,24,2002
Dustin Lyman,TE,12,24,2002
Alan Ricard,RB,16,24,2002
Oronde Gadsden,WR,6,23,2002
Maurice Morris,RB,11,23,2002
Stanley Pritchett,TE,16,23,2002
Chris Walsh,WR,16,23,2002
Nick Luchey,TE,16,23,2002
Cedrick Wilson,WR,16,23,2002
Koy Detmer,QB,14,22,2002
Lorenzo Neal,RB,16,22,2002
Michael Westbrook,WR,9,22,2002
Isaac Byrd,WR,13,21,2002
Daniel Graham,WR,12,21,2002
Dan Kreider,RB,16,21,2002
Aaron Stecker,RB,16,21,2002
Roland Williams,TE,16,20,2002
Derrick Alexander,WR,8,19,2002
Rock Cartwright,RB,16,19,2002
Mike Green,RB,15,19,2002
Karl Williams,WR,16,19,2002
Steve Bush,TE,16,18,2002
Reuben Droughns,RB,16,18,2002
Adrian Peterson,RB,9,18,2002
Ken-Yon Rambo,WR,16,18,2002
Lamont Warren,RB,3,18,2002
Henry Burris,QB,6,17,2002
Cam Cleeland,TE,12,17,2002
Tyrone Davis,TE,9,17,2002
Steve Heiden,TE,16,17,2002
Ron Johnson,WR,16,17,2002
Terry Jones,,14,17,2002
Erron Kinney,TE,15,17,2002
Brandon Manumaleuna,TE,16,17,2002
Nate Poole,WR,5,17,2002
Troy Walters,WR,16,17,2002
Reggie Kelly,TE,16,16,2002
Kris Mangum,TE,16,16,2002
Dedric Ward,WR,16,16,2002
James Fenderson,RB,16,15,2002
Larry Foster,WR,13,15,2002
Jacquez Green,WR,10,15,2002
Patrick Hape,TE,16,15,2002
Tim Rattay,QB,4,15,2002
Jerald Sowell,RB,16,15,2002
James Whalen,TE,16,15,2002
David Givens,WR,12,14,2002
Karl Hankton,WR,16,14,2002
Rondell Mealey,RB,3,14,2002
Scottie Montgomery,WR,15,14,2002
Chad Morton,RB,16,14,2002
Reggie Swinton,WR,14,14,2002
Mark Bruener,TE,12,13,2002
Chris Fuamatu-Ma'afala,RB,8,13,2002
John Gilmore,TE,8,13,2002
David Sloan,TE,16,13,2002
Derrick Blaylock,RB,12,12,2002
Cris Carter,WR,5,12,2002
Danny Farmer,WR,8,12,2002
Gus Frerotte,QB,4,12,2002
Randy Hymes,WR,7,12,2002
Jon Ritchie,WR,16,12,2002
Paul Smith,RB,11,12,2002
Jerame Tuman,WR,13,12,2002
Ricky Williams,RB,10,12,2002
Jarrod Baxter,RB,16,11,2002
Bryan Johnson,RB,16,11,2002
John Jones,TE,15,11,2002
Cecil Martin,RB,16,11,2002
Marcellus Rivers,TE,16,11,2002
Robert Thomas,RB,15,11,2002
Jermaine Wiggins,TE,14,11,2002
Damien Anderson,RB,10,10,2002
Rudi Johnson,RB,7,10,2002
Freddie Mitchell,WR,16,10,2002
James Williams,WR,13,10,2002
Avion Black,WR,11,9,2002
Randy Jordan,RB,14,9,2002
David Martin,TE,8,9,2002
Brian Mitchell,RB,16,9,2002
Doug Pederson,QB,16,9,2002
Walter Rasby,TE,13,9,2002
Doug Chapman,RB,6,8,2002
Todd Collins,QB,3,8,2002
Eddie Drummond,WR,9,8,2002
Omar Easy,RB,7,8,2002
Heath Evans,RB,16,8,2002
Hunter Goodwin,TE,16,8,2002
Ryan Hannam,TE,15,8,2002
Arnold Jackson,WR,16,8,2002
Daryl Jones,WR,13,8,2002
Shad Meier,TE,12,8,2002
Ahmad Merritt,WR,12,8,2002
Mike Roberg,TE,12,8,2002
Darnell Sanders,TE,10,8,2002
Bill Baber,TE,12,7,2002
Trung Canidate,RB,16,7,2002
Joe Davenport,TE,10,7,2002
Jabari Holloway,WR,11,7,2002
Kevin Swayne,WR,15,7,2002
Terrence Wilkins,WR,13,7,2002
Tim Carter,WR,5,6,2002
Jesse Chatman,RB,10,6,2002
Greg Comella,RB,12,6,2002
Rafael Cooper,RB,5,6,2002
Randy Fasani,QB,4,6,2002
Verron Haynes,RB,14,6,2002
James Jackson,RB,16,6,2002
Brian Kozlowski,WR,16,6,2002
Justin Swift,WR,16,6,2002
Fred Baxter,TE,6,5,2002
James Hodgins,RB,9,5,2002
Sammy Morris,RB,16,5,2002
John Owens,WR,15,5,2002
Aaron Shea,TE,7,5,2002
Sean Bennett,RB,7,4,2002
Desmond Clark,TE,11,4,2002
Jameel Cook,RB,14,4,2002
