name,position,games,points,year
LaDainian Tomlinson,RB,16,427,2006
Larry Johnson,RB,16,334,2006
Steven Jackson,RB,16,329,2006
Peyton Manning,QB,16,313,2006
Frank Gore,RB,16,272,2006
Willie Parker,RB,16,268,2006
Brian Westbrook,RB,15,258,2006
Marvin Harrison,WR,16,211,2006
Tiki Barber,RB,16,243,2006
Terrell Owens,WR,16,198,2006
Michael Vick,QB,16,269,2006
Drew Brees,QB,16,266,2006
Reggie Wayne,WR,16,187,2006
Maurice Jones-Drew,RB,16,228,2006
Marc Bulger,QB,16,258,2006
Antonio Gates,TE,16,146,2006
Chad Johnson,WR,16,181,2006
Donald Driver,WR,16,179,2006
Torry Holt,WR,16,179,2006
Lee Evans,WR,16,177,2006
Carson Palmer,QB,16,251,2006
Reggie Bush,WR,16,177,2006
Steve Smith,WR,14,177,2006
Javon Walker,WR,16,175,2006
Rudi Johnson,RB,16,215,2006
Roy Williams,WR,16,173,2006
T.J. Houshmandzadeh,WR,14,163,2006
Alge Crumpler,TE,16,126,2006
Jon Kitna,QB,16,236,2006
Plaxico Burress,WR,15,159,2006
Tony Gonzalez,TE,15,122,2006
Darrell Jackson,WR,13,156,2006
Tom Brady,QB,16,227,2006
Marques Colston,WR,14,152,2006
Ladell Betts,RB,16,190,2006
Todd Heap,TE,16,113,2006
Joey Galloway,WR,16,149,2006
Joseph Addai,RB,16,189,2006
Chris Cooley,TE,16,111,2006
Laveranues Coles,WR,16,147,2006
Anquan Boldin,WR,16,147,2006
Andre Johnson,WR,16,146,2006
Chester Taylor,RB,15,186,2006
Deuce McAllister,RB,15,186,2006
Mike Furrey,WR,16,145,2006
Terry Glenn,WR,15,142,2006
Kellen Winslow,TE,16,106,2006
Jeremy Shockey,TE,15,104,2006
Marion Barber,RB,16,181,2006
Ahman Green,RB,14,179,2006
Philip Rivers,QB,16,212,2006
Reggie Brown,WR,16,138,2006
Jamal Lewis,RB,16,179,2006
Hines Ward,WR,14,137,2006
Vince Young,QB,15,209,2006
Desmond Clark,TE,16,99,2006
Jerricho Cotchery,WR,16,135,2006
Fred Taylor,RB,15,175,2006
Corey Dillon,RB,16,174,2006
Edgerrin James,RB,16,174,2006
Travis Henry,RB,14,173,2006
Thomas Jones,RB,16,172,2006
Donovan McNabb,QB,10,205,2006
Larry Fitzgerald,WR,13,131,2006
Isaac Bruce,WR,16,130,2006
L.J. Smith,TE,16,93,2006
Kevin Jones,RB,12,169,2006
Brett Favre,QB,16,200,2006
Santana Moss,WR,14,125,2006
Braylon Edwards,WR,16,125,2006
Mark Clayton,WR,16,121,2006
Warrick Dunn,RB,16,161,2006
Ben Watson,TE,13,82,2006
Randy McMichael,TE,16,82,2006
Jamar Martin,,2,,2006
Eli Manning,QB,16,192,2006
Jason Witten,TE,16,81,2006
J.P. Foschi,,1,,2006
J.P. Losman,QB,16,190,2006
Ben Roethlisberger,QB,15,188,2006
Chad Pennington,QB,16,182,2006
Rex Grossman,QB,16,180,2006
Steve McNair,QB,16,180,2006
Tony Romo,QB,16,180,2006
Alex Smith,QB,16,174,2006
David Carr,QB,16,164,2006
Jake Delhomme,QB,13,159,2006
Ronnie Brown,RB,13,158,2006
Matt Hasselbeck,QB,12,153,2006
Willis McGahee,RB,14,151,2006
Julius Jones,RB,16,147,2006
Charlie Frye,QB,13,144,2006
Matt Leinart,QB,12,139,2006
Shaun Alexander,RB,10,136,2006
Laurence Maroney,RB,14,136,2006
Mike Bell,RB,15,132,2006
Brad Johnson,QB,15,130,2006
Tatum Bell,RB,13,126,2006
DeShaun Foster,RB,14,124,2006
Damon Huard,QB,10,119,2006
Dominic Rhodes,RB,16,119,2006
Eddie Kennison,WR,16,118,2006
Marty Booker,WR,14,117,2006
Reuben Droughns,RB,14,117,2006
David Garrard,QB,11,116,2006
Muhsin Muhammad,WR,16,116,2006
Leon Washington,RB,16,116,2006
Chris Henry,WR,13,115,2006
Jake Plummer,QB,16,115,2006
Bernard Berrian,WR,15,114,2006
Joey Harrington,QB,11,114,2006
Devery Henderson,WR,13,112,2006
Brandon Jacobs,RB,15,111,2006
Clinton Portis,RB,8,111,2006
Keyshawn Johnson,WR,16,110,2006
Cedric Benson,RB,15,106,2006
Cadillac Williams,RB,14,105,2006
Mark Brunell,QB,10,103,2006
Reche Caldwell,WR,16,103,2006
Donte' Stallworth,WR,12,103,2006
Chris Chambers,WR,16,101,2006
Bruce Gradkowski,QB,13,101,2006
Deion Branch,WR,14,100,2006
Ron Dayne,RB,11,99,2006
Jeff Garcia,QB,8,99,2006
Bryant Johnson,WR,16,98,2006
Santonio Holmes,WR,16,96,2006
Drew Bennett,WR,16,94,2006
Joe Horn,WR,10,94,2006
Wali Lundy,RB,14,94,2006
DeAngelo Williams,RB,13,93,2006
Antonio Bryant,WR,14,91,2006
Jason Campbell,QB,7,91,2006
Arnaz Battle,WR,16,89,2006
Reggie Williams,WR,16,89,2006
Matt Jones,WR,14,87,2006
Derrick Mason,WR,16,87,2006
Nate Washington,WR,16,87,2006
Michael Jenkins,WR,16,86,2006
Jerious Norwood,RB,14,86,2006
D.J. Hackett,WR,14,85,2006
Vincent Jackson,WR,16,85,2006
Travis Taylor,WR,16,84,2006
Justin Fargas,RB,16,81,2006
Greg Jennings,WR,14,81,2006
Byron Leftwich,QB,6,80,2006
Correll Buckhalter,RB,16,78,2006
Ronald Curry,WR,16,77,2006
Patrick Crayton,WR,16,76,2006
Kevan Barlow,RB,12,75,2006
Wes Welker,WR,16,75,2006
Drew Bledsoe,QB,6,73,2006
Randy Moss,WR,13,73,2006
Kevin Curtis,WR,16,72,2006
Trent Green,QB,8,72,2006
Cedric Houston,RB,8,72,2006
Antwaan Randle El,WR,16,72,2006
Mewelde Moore,RB,16,71,2006
Michael Pittman,RB,16,71,2006
Heath Miller,TE,16,69,2006
Rod Smith,WR,16,69,2006
Kurt Warner,QB,6,69,2006
Jay Cutler,QB,5,68,2006
Kevin Faulk,RB,15,68,2006
Joe Jurevicius,WR,13,68,2006
Eric Parker,WR,15,68,2006
Vernand Morency,RB,14,67,2006
Michael Turner,RB,13,67,2006
Seneca Wallace,QB,8,67,2006
Troy Brown,WR,16,66,2006
Owen Daniels,TE,14,65,2006
Maurice Morris,RB,16,65,2006
Anthony Thomas,RB,16,64,2006
Ernest Wilford,WR,16,64,2006
Brandon Jones,WR,16,63,2006
LaMont Jordan,RB,9,63,2006
Samie Parker,WR,16,63,2006
Sammy Morris,RB,12,62,2006
Eric Moulds,WR,16,62,2006
Marcus Robinson,WR,10,62,2006
Dallas Clark,TE,12,61,2006
Doug Gabriel,WR,15,61,2006
Peerless Price,WR,16,60,2006
Cedrick Wilson,WR,15,59,2006
Bobby Wade,WR,16,58,2006
Terrance Copper,WR,15,57,2006
Hank Baskett,WR,16,56,2006
Drew Carter,WR,14,56,2006
Bo Scaife,TE,14,56,2006
Andrew Walter,QB,12,56,2006
Dan Campbell,TE,16,55,2006
Chris Baker,TE,16,54,2006
Noah Herron,RB,16,54,2006
Josh Reed,WR,13,54,2006
Amani Toomer,WR,8,54,2006
Aaron Brooks,QB,8,53,2006
Najeh Davenport,RB,13,53,2006
Tony Scheffler,TE,13,53,2006
George Wrighster,TE,16,53,2006
Demetrius Williams,WR,16,52,2006
Justin Griffith,RB,16,51,2006
Roddy White,WR,16,51,2006
Ashley Lelie,WR,15,49,2006
Jerramy Stevens,TE,11,49,2006
Daunte Culpepper,QB,4,47,2006
Greg Lewis,WR,16,47,2006
Mark Bradley,WR,10,46,2006
Michael Clayton,WR,12,46,2006
Ike Hilliard,WR,16,46,2006
Roscoe Parrish,WR,16,46,2006
Troy Williamson,WR,14,46,2006
Vernon Davis,TE,10,45,2006
Keenan McCardell,WR,14,45,2006
Jermaine Wiggins,TE,16,45,2006
Mike Alstott,RB,16,44,2006
Brandon Marshall,WR,15,44,2006
Billy McMullen,WR,16,43,2006
Alex Smith,TE,14,43,2006
Rashied Davis,WR,16,42,2006
Ruvell Martin,WR,13,42,2006
Tim Rattay,QB,4,42,2006
Courtney Anderson,TE,16,41,2006
Charlie Batch,QB,8,41,2006
Eric Johnson,TE,13,41,2006
Justin McCareins,WR,16,41,2006
Kenny Watson,RB,16,41,2006
Derek Anderson,QB,5,40,2006
Robert Royal,TE,16,40,2006
Kyle Boller,QB,5,39,2006
Malcom Floyd,WR,12,39,2006
Artose Pinner,RB,12,39,2006
Ben Utecht,TE,15,38,2006
Tim Carter,WR,16,37,2006
Steve Heiden,TE,16,37,2006
Brandon Lloyd,WR,15,37,2006
Mack Strong,WR,16,37,2006
Samkon Gado,RB,9,36,2006
Daniel Graham,TE,12,36,2006
Bobby Engram,WR,7,35,2006
Arlen Harris,RB,10,35,2006
Chad Jackson,WR,12,35,2006
Ovie Mughelli,RB,16,35,2006
Daniel Wilcox,TE,14,35,2006
Dante Hall,WR,15,34,2006
Marcel Shipp,RB,15,34,2006
Stephen Davis,RB,15,33,2006
Tarvaris Jackson,QB,4,33,2006
ReShard Lee,RB,16,33,2006
Matt Schobel,TE,16,33,2006
Troy Walters,WR,15,33,2006
Kris Wilson,TE,16,33,2006
Bryan Fletcher,TE,15,32,2006
David Martin,TE,11,32,2006
David Tyree,WR,16,32,2006
Nate Burleson,WR,16,31,2006
Mike Karney,RB,15,31,2006
Reggie Kelly,TE,16,31,2006
Mike Anderson,RB,16,30,2006
Bryan Gilmore,WR,16,30,2006
Alvis Whitted,WR,14,30,2006
LenDale White,RB,13,30,2006
Joe Klopfenstein,TE,16,29,2006
Musa Smith,RB,12,29,2006
Randal Williams,TE,16,29,2006
Stephen Alexander,TE,16,28,2006
Michael Bennett,RB,11,28,2006
Derek Hagan,WR,16,28,2006
