name,position,games,points,year
Priest Holmes,RB,16,373,2003
Ahman Green,RB,16,345,2003
LaDainian Tomlinson,RB,16,344,2003
Jamal Lewis,RB,16,311,2003
Randy Moss,WR,16,267,2003
Torry Holt,WR,16,242,2003
Clinton Portis,RB,13,277,2003
Shaun Alexander,RB,16,269,2003
Deuce McAllister,RB,16,264,2003
Fred Taylor,RB,16,236,2003
Chad Johnson,WR,16,196,2003
Ricky Williams,RB,16,232,2003
Tony Gonzalez,TE,16,152,2003
Anquan Boldin,WR,16,188,2003
Marvin Harrison,WR,15,188,2003
Edgerrin James,RB,13,221,2003
Hines Ward,WR,16,182,2003
Derrick Mason,WR,16,179,2003
Travis Henry,RB,15,215,2003
Santana Moss,WR,16,177,2003
Stephen Davis,RB,14,208,2003
Darrell Jackson,WR,16,168,2003
Daunte Culpepper,QB,14,285,2003
Keenan McCardell,WR,16,165,2003
Chris Chambers,WR,16,165,2003
Shannon Sharpe,TE,15,125,2003
Terrell Owens,WR,15,164,2003
Laveranues Coles,WR,16,160,2003
Joe Horn,WR,15,159,2003
Steve Smith,WR,16,157,2003
Peyton Manning,QB,16,271,2003
Tiki Barber,RB,16,188,2003
Moe Williams,RB,16,187,2003
Domanick Williams,RB,14,186,2003
Peter Warrick,WR,15,140,2003
Marshall Faulk,RB,11,177,2003
Kevan Barlow,RB,16,175,2003
Todd Heap,TE,16,97,2003
Amani Toomer,WR,16,136,2003
Trent Green,QB,16,254,2003
Steve McNair,QB,14,253,2003
David Boston,WR,14,134,2003
Matt Hasselbeck,QB,16,252,2003
Isaac Bruce,WR,15,132,2003
Aaron Brooks,QB,16,251,2003
Curtis Martin,RB,16,169,2003
Rudi Johnson,RB,13,164,2003
Reggie Wayne,WR,16,126,2003
Javon Walker,WR,16,126,2003
Justin McCareins,WR,16,125,2003
Brian Westbrook,RB,15,161,2003
Andre Johnson,WR,16,121,2003
Eddie Kennison,WR,16,116,2003
T.J. Duckett,RB,16,153,2003
Rod Smith,WR,15,115,2003
Koren Robinson,WR,15,115,2003
Boo Williams,TE,16,74,2003
Itula Mili,TE,16,73,2003
Alge Crumpler,TE,16,73,2003
Marc Bulger,QB,15,231,2003
Eddie George,RB,16,149,2003
Jeff Garcia,QB,13,231,2003
Marcus Pollard,TE,14,72,2003
Randy McMichael,TE,16,72,2003
Terry Glenn,WR,16,111,2003
Jon Kitna,QB,16,229,2003
Michael Pittman,RB,16,147,2003
Plaxico Burress,WR,16,109,2003
Freddie Jones,TE,16,70,2003
Johnnie Morton,WR,16,107,2003
Brett Favre,QB,16,226,2003
Tom Brady,QB,16,225,2003
Jim Kleinsasser,TE,16,66,2003
Jeremy Shockey,TE,9,66,2003
Tom Lopienski,,4,,2003
Andrew Pinnock,,16,,2003
Malaefou MacKenzie,,1,,2003
Jimmy Smith,WR,12,105,2003
Donovan McNabb,QB,16,223,2003
Brad Johnson,QB,16,220,2003
Quincy Carter,QB,16,196,2003
Jake Delhomme,QB,16,183,2003
Tommy Maddox,QB,16,176,2003
Jake Plummer,QB,11,172,2003
Byron Leftwich,QB,15,160,2003
Joey Harrington,QB,16,153,2003
Kerry Collins,QB,13,151,2003
Drew Bledsoe,QB,16,149,2003
Jeff Blake,QB,13,144,2003
Anthony Thomas,RB,13,142,2003
Patrick Ramsey,QB,11,141,2003
Troy Hambrick,RB,16,137,2003
Jerome Bettis,RB,16,134,2003
Chad Pennington,QB,10,132,2003
Warrick Dunn,RB,11,131,2003
Jay Fiedler,QB,12,130,2003
Duce Staley,RB,16,127,2003
Correll Buckhalter,RB,15,122,2003
Garrison Hearst,RB,12,122,2003
David Carr,QB,12,118,2003
Charlie Garner,RB,14,118,2003
Drew Brees,QB,11,117,2003
Shawn Bryson,RB,16,113,2003
Richie Anderson,RB,15,110,2003
Kevin Faulk,RB,15,110,2003
Kordell Stewart,QB,9,110,2003
Tyrone Wheatley,RB,15,104,2003
Doug Flutie,QB,7,103,2003
Onterrio Smith,RB,15,103,2003
Muhsin Muhammad,WR,15,102,2003
