name,position,games,points,year
Aaron Rodgers,QB,15,399,2011
Drew Brees,QB,16,396,2011
Ray Rice,RB,16,301,2011
Calvin Johnson,WR,16,267,2011
Cam Newton,QB,16,375,2011
Rob Gronkowski,TE,16,241,2011
Tom Brady,QB,16,370,2011
LeSean McCoy,RB,15,282,2011
Matthew Stafford,QB,16,347,2011
Maurice Jones-Drew,RB,16,264,2011
Arian Foster,RB,13,256,2011
Jordy Nelson,WR,16,216,2011
Jimmy Graham,TE,16,197,2011
Wes Welker,WR,16,214,2011
Victor Cruz,WR,16,208,2011
Larry Fitzgerald,WR,16,189,2011
Steve Smith,WR,16,189,2011
Marshawn Lynch,RB,15,220,2011
Michael Turner,RB,16,217,2011
Percy Harvin,WR,16,179,2011
Roddy White,WR,16,178,2011
Eli Manning,QB,16,289,2011
Mike Wallace,WR,16,173,2011
Vincent Jackson,WR,16,170,2011
Tony Romo,QB,16,282,2011
Matt Ryan,QB,16,281,2011
Marques Colston,WR,14,162,2011
Hakeem Nicks,WR,15,161,2011
Brandon Marshall,WR,16,161,2011
Ryan Mathews,RB,14,191,2011
Adrian Peterson,RB,12,189,2011
Aaron Hernandez,TE,14,138,2011
Michael Bush,RB,16,188,2011
Darren Sproles,RB,16,187,2011
A.J. Green,WR,15,153,2011
Philip Rivers,QB,16,265,2011
Laurent Robinson,WR,14,152,2011
Steven Jackson,RB,15,184,2011
Nate Washington,WR,16,151,2011
Frank Gore,RB,16,183,2011
Julio Jones,WR,13,150,2011
Greg Jennings,WR,13,149,2011
Tony Gonzalez,TE,16,130,2011
Reggie Bush,RB,15,180,2011
Dez Bryant,WR,15,147,2011
Dwayne Bowe,WR,16,147,2011
Jermichael Finley,TE,16,127,2011
Jason Witten,TE,16,124,2011
Mark Sanchez,QB,16,255,2011
Steve Johnson,WR,16,142,2011
Fred Jackson,RB,10,174,2011
Matt Forte,RB,12,173,2011
Antonio Gates,TE,13,120,2011
Chris Johnson,RB,16,171,2011
Beanie Wells,RB,14,170,2011
Pierre Garcon,WR,16,134,2011
Vernon Davis,TE,16,115,2011
Shonn Greene,RB,16,163,2011
Torrey Smith,WR,16,130,2011
Dustin Keller,TE,16,112,2011
Rashard Mendenhall,RB,15,162,2011
Brent Celek,TE,16,111,2011
Brandon Lloyd,WR,15,129,2011
Michael Vick,QB,13,241,2011
Ahmad Bradshaw,RB,12,161,2011
Antonio Brown,WR,16,127,2011
Brandon Pettigrew,TE,16,108,2011
Jabar Gaffney,WR,16,125,2011
Willis McGahee,RB,15,157,2011
DeSean Jackson,WR,15,124,2011
Darrius Heyward-Bey,WR,15,122,2011
Reggie Wayne,WR,16,120,2011
Mike Tolbert,RB,15,152,2011
Cedric Benson,RB,15,151,2011
Santonio Holmes,WR,16,116,2011
Marquis Johnson,,3,,2011
Korey Hall,,13,,2011
Ryan Fitzpatrick,QB,16,229,2011
Ben Roethlisberger,QB,15,226,2011
Josh Freeman,QB,15,225,2011
Alex Smith,QB,16,216,2011
Joe Flacco,QB,16,214,2011
Andy Dalton,QB,16,213,2011
Tim Tebow,QB,14,213,2011
Matt Hasselbeck,QB,16,192,2011
Tarvaris Jackson,QB,15,172,2011
Colt McCoy,QB,13,166,2011
Matt Moore,QB,13,166,2011
Matt Schaub,QB,10,160,2011
Rex Grossman,QB,13,159,2011
BenJarvus Green-Ellis,RB,16,149,2011
Jonathan Stewart,RB,16,147,2011
Jay Cutler,QB,10,142,2011
DeAngelo Williams,RB,16,139,2011
Carson Palmer,QB,10,138,2011
Pierre Thomas,RB,16,137,2011
Ben Tate,RB,15,128,2011
Blaine Gabbert,QB,15,124,2011
LeGarrette Blount,RB,14,123,2011
Christian Ponder,QB,11,122,2011
Roy Helu,RB,15,120,2011
Brandon Jacobs,RB,14,120,2011
DeMarco Murray,RB,13,120,2011
C.J. Spiller,RB,16,119,2011
Malcom Floyd,WR,12,116,2011
Jeremy Maclin,WR,13,116,2011
Lance Moore,WR,14,115,2011
Michael Crabtree,WR,15,114,2011
Plaxico Burress,WR,16,109,2011
Eric Decker,WR,16,109,2011
Anquan Boldin,WR,14,107,2011
Kevin Kolb,QB,9,107,2011
Darren McFadden,RB,7,107,2011
John Skelton,QB,8,107,2011
James Jones,WR,16,106,2011
Denarius Moore,WR,13,106,2011
Doug Baldwin,WR,16,103,2011
Donald Brown,RB,16,103,2011
Nate Burleson,WR,16,102,2011
Sam Bradford,QB,10,101,2011
Ryan Grant,RB,15,101,2011
Miles Austin,WR,10,100,2011
Deion Branch,WR,15,100,2011
Matt Cassel,QB,9,100,2011
Robert Meachem,WR,16,100,2011
Titus Young,WR,16,100,2011
Early Doucet,WR,16,99,2011
Jerome Simpson,WR,16,99,2011
Mike Williams,WR,16,99,2011
Fred Davis,TE,12,98,2011
David Nelson,WR,16,98,2011
Toby Gerhart,RB,16,96,2011
Jermaine Gresham,TE,14,96,2011
Dexter McCluster,WR,16,96,2011
Kevin Smith,RB,7,96,2011
Jared Cook,TE,16,94,2011
Kellen Winslow,TE,16,94,2011
Steve Breaston,WR,16,93,2011
LaDainian Tomlinson,RB,14,91,2011
Peyton Hillis,RB,10,90,2011
Kyle Orton,QB,9,90,2011
Damian Williams,WR,15,89,2011
Jahvid Best,RB,6,86,2011
Owen Daniels,TE,15,86,2011
Felix Jones,RB,12,86,2011
Greg Olsen,RB,16,86,2011
Jason Campbell,QB,6,85,2011
Johnny Knox,WR,14,85,2011
James Starks,RB,13,85,2011
Jake Ballard,TE,14,84,2011
Greg Little,WR,16,84,2011
Marion Barber,RB,11,83,2011
Ed Dickson,TE,16,83,2011
Mark Ingram,RB,10,82,2011
Santana Moss,WR,12,82,2011
Donald Driver,WR,16,81,2011
Curtis Painter,QB,9,80,2011
Demaryius Thomas,WR,11,80,2011
Jackie Battle,RB,15,79,2011
Kendall Hunter,RB,16,79,2011
Brandon LaFell,WR,16,79,2011
Josh Cribbs,RB,16,78,2011
Mario Manningham,WR,12,76,2011
Heath Miller,TE,16,76,2011
Dezmon Briscoe,WR,16,75,2011
Scott Chandler,TE,14,75,2011
Anthony Fasano,TE,15,75,2011
Jason Avant,RB,16,74,2011
Isaac Redman,RB,16,74,2011
Davone Bess,WR,16,73,2011
Preston Parker,WR,16,73,2011
Andre Roberts,WR,16,73,2011
Tony Scheffler,TE,15,73,2011
Joel Dreessen,TE,16,71,2011
Daniel Thomas,RB,13,71,2011
Jeremy Shockey,TE,15,70,2011
Lance Ball,RB,16,67,2011
Maurice Morris,RB,16,67,2011
Michael Jenkins,WR,11,65,2011
Jacoby Jones,WR,16,65,2011
Donovan McNabb,QB,6,65,2011
Dan Orlovsky,QB,8,65,2011
Kevin Walter,WR,15,65,2011
Ricky Williams,RB,16,65,2011
Devery Henderson,WR,16,63,2011
Sidney Rice,WR,9,63,2011
Roy Williams,WR,15,63,2011
Brian Hartline,WR,16,62,2011
Andre Johnson,WR,7,62,2011
Arrelious Benn,WR,14,61,2011
Danny Woodhead,RB,15,61,2011
Chad Henne,QB,4,60,2011
Bernard Scott,RB,16,60,2011
Joseph Addai,RB,12,59,2011
Austin Collie,WR,16,59,2011
Ben Obomanu,WR,16,59,2011
Dennis Pitta,TE,16,59,2011
Visanthe Shiancoe,TE,16,59,2011
Golden Tate,WR,16,58,2011
Chris Ogbonnaya,RB,13,57,2011
Harry Douglas,WR,16,56,2011
Evan Moore,TE,16,56,2011
Legedu Naanee,RB,15,56,2011
Danario Alexander,WR,10,55,2011
Kevin Boss,TE,14,55,2011
Jason Hill,WR,10,55,2011
Devin Aromashodu,WR,16,53,2011
John Beck,QB,4,53,2011
Kahlil Bell,RB,13,53,2011
Lavelle Hawkins,WR,16,53,2011
Marcel Reece,RB,12,53,2011
