name,position,games,points,year
Shaun Alexander,RB,16,307,2004
Daunte Culpepper,QB,16,381,2004
Tiki Barber,RB,16,300,2004
LaDainian Tomlinson,RB,15,287,2004
Peyton Manning,QB,16,362,2004
Curtis Martin,RB,16,278,2004
Muhsin Muhammad,WR,16,238,2004
Antonio Gates,TE,15,174,2004
Domanick Williams,RB,15,262,2004
Edgerrin James,RB,16,259,2004
Tony Gonzalez,TE,16,168,2004
Corey Dillon,RB,15,252,2004
Javon Walker,WR,16,210,2004
Joe Horn,WR,16,208,2004
Terrell Owens,WR,14,204,2004
Marvin Harrison,WR,16,201,2004
Donovan McNabb,QB,15,303,2004
Torry Holt,WR,16,197,2004
Drew Bennett,WR,16,197,2004
Rudi Johnson,RB,16,226,2004
Jason Witten,TE,16,136,2004
Reggie Wayne,WR,16,193,2004
Chad Johnson,WR,16,185,2004
Willis McGahee,RB,16,208,2004
Donald Driver,WR,16,177,2004
Brian Westbrook,RB,13,206,2004
Alge Crumpler,TE,14,113,2004
Clinton Portis,RB,15,202,2004
Priest Holmes,RB,8,198,2004
Brandon Stokley,WR,16,168,2004
Ahman Green,RB,15,197,2004
Reuben Droughns,RB,16,196,2004
Isaac Bruce,WR,16,165,2004
Randy McMichael,TE,16,105,2004
Michael Clayton,WR,16,164,2004
Warrick Dunn,RB,16,194,2004
Darrell Jackson,WR,16,164,2004
Trent Green,QB,16,268,2004
Jeremy Shockey,TE,15,103,2004
Michael Pittman,RB,13,192,2004
Nate Burleson,WR,16,162,2004
Eddie Kennison,WR,14,160,2004
Rod Smith,WR,16,160,2004
Derrick Mason,WR,16,159,2004
Eric Johnson,TE,16,95,2004
Deuce McAllister,RB,14,184,2004
Randy Moss,WR,13,154,2004
Jerry Porter,WR,16,153,2004
Jake Delhomme,QB,16,259,2004
Jimmy Smith,WR,16,153,2004
Jake Plummer,QB,16,258,2004
Brett Favre,QB,16,257,2004
Andre Johnson,WR,16,151,2004
Jerome Bettis,RB,15,181,2004
Ashley Lelie,WR,16,151,2004
Thomas Jones,RB,14,180,2004
Lee Evans,WR,16,147,2004
Fred Taylor,RB,14,175,2004
Aaron Brooks,QB,16,248,2004
Chris Chambers,WR,15,141,2004
Drew Brees,QB,15,245,2004
Marc Bulger,QB,14,243,2004
Daniel Graham,TE,14,78,2004
Bubba Franks,TE,16,78,2004
Kevin Jones,RB,15,167,2004
Eric Moulds,WR,16,136,2004
Nick Goings,RB,16,164,2004
Keyshawn Johnson,WR,16,133,2004
Emmitt Smith,RB,15,163,2004
Hines Ward,WR,16,133,2004
Dallas Clark,TE,15,72,2004
Roy Williams,WR,14,130,2004
Tom Brady,QB,16,234,2004
Jeb Putzier,TE,16,69,2004
Michael Vick,QB,15,233,2004
L.J. Smith,TE,16,68,2004
Tom Lopienski,,2,,2004
Chris Brown,RB,11,157,2004
Matt Hasselbeck,QB,14,212,2004
David Carr,QB,16,207,2004
Joey Harrington,QB,16,193,2004
Byron Leftwich,QB,14,192,2004
Kerry Collins,QB,14,187,2004
Vinny Testaverde,QB,16,181,2004
Chad Pennington,QB,13,172,2004
Ben Roethlisberger,QB,14,171,2004
Drew Bledsoe,QB,16,169,2004
Brian Griese,QB,11,163,2004
Carson Palmer,QB,13,163,2004
Billy Volek,QB,10,162,2004
Kyle Boller,QB,16,159,2004
Jamal Lewis,RB,12,154,2004
Larry Johnson,RB,10,152,2004
Josh McCown,QB,14,149,2004
Kevan Barlow,RB,15,145,2004
Marshall Faulk,RB,14,136,2004
Julius Jones,RB,8,135,2004
Derrick Blaylock,RB,12,133,2004
Larry Fitzgerald,WR,16,127,2004
T.J. Houshmandzadeh,WR,16,127,2004
David Patten,WR,16,123,2004
Jeff Garcia,QB,11,120,2004
Onterrio Smith,RB,11,120,2004
Tim Rattay,QB,9,118,2004
Santana Moss,WR,15,116,2004
Marcus Robinson,WR,16,114,2004
Steven Jackson,RB,14,112,2004
Donte' Stallworth,WR,16,110,2004
Lee Suggs,RB,10,110,2004
Keary Colbert,WR,15,107,2004
Kurt Warner,QB,10,107,2004
Antonio Bryant,WR,15,105,2004
David Givens,WR,15,105,2004
Ronald Curry,WR,12,104,2004
Johnnie Morton,WR,13,102,2004
Chester Taylor,RB,16,102,2004
Laveranues Coles,WR,16,101,2004
A.J. Feeley,QB,11,101,2004
Justin McCareins,WR,16,101,2004
Sammy Morris,RB,13,101,2004
Plaxico Burress,WR,11,100,2004
T.J. Duckett,RB,13,100,2004
Eric Parker,WR,15,98,2004
Rod Gardner,WR,16,96,2004
Brandon Lloyd,WR,13,95,2004
Dennis Northcutt,WR,16,95,2004
Duce Staley,RB,10,95,2004
Jermaine Wiggins,RB,14,95,2004
Antowain Smith,RB,13,92,2004
Amos Zereoue,RB,15,89,2004
Steve McNair,QB,8,87,2004
Patrick Ramsey,QB,9,87,2004
Antwaan Randle El,WR,16,86,2004
Cedrick Wilson,WR,15,83,2004
Peerless Price,WR,16,80,2004
William Green,RB,15,79,2004
Jabar Gaffney,WR,16,78,2004
David Terrell,WR,16,77,2004
Eddie George,RB,13,76,2004
Amani Toomer,WR,15,75,2004
Joey Galloway,WR,10,74,2004
Dorsey Levens,RB,15,74,2004
Todd Pinkston,WR,16,74,2004
Mark Brunell,QB,9,72,2004
Marty Booker,WR,15,71,2004
Az-Zahir Hakim,WR,12,71,2004
Jonathan Wells,RB,16,70,2004
Anquan Boldin,WR,10,69,2004
Deion Branch,WR,9,69,2004
LaMont Jordan,RB,16,69,2004
Kevin Faulk,RB,11,68,2004
Doug Gabriel,WR,16,68,2004
Chris Cooley,TE,16,67,2004
Shaun McDonald,WR,16,67,2004
Marcus Pollard,TE,13,67,2004
Tatum Bell,RB,14,66,2004
Tony Fisher,RB,16,66,2004
Anthony Thomas,RB,12,66,2004
Jay Fiedler,QB,8,65,2004
Tyrone Wheatley,RB,8,65,2004
Maurice Hicks,RB,9,64,2004
Travis Minor,RB,11,64,2004
Jerome Pathon,WR,15,64,2004
Moe Williams,RB,14,63,2004
Bobby Engram,WR,13,62,2004
Mewelde Moore,RB,10,62,2004
Koren Robinson,WR,10,62,2004
Steve Heiden,TE,13,61,2004
Quincy Morgan,WR,15,61,2004
Jerry Rice,WR,17,61,2004
Michael Bennett,RB,11,60,2004
Curtis Conway,WR,16,60,2004
Troy Edwards,WR,16,60,2004
Derrius Thompson,WR,16,60,2004
Shawn Bryson,RB,16,59,2004
Jesse Chatman,RB,15,59,2004
Kevin Curtis,WR,15,59,2004
Bryant Johnson,WR,16,59,2004
Corey Bradford,WR,15,58,2004
Richie Anderson,RB,12,56,2004
Ken Dorsey,QB,8,56,2004
Quentin Griffin,RB,6,56,2004
Bobby Wade,WR,16,56,2004
Kelley Washington,WR,16,56,2004
Mike Alstott,RB,14,55,2004
Ken Dilger,TE,16,55,2004
Freddie Jones,TE,16,55,2004
Clarence Moore,WR,15,55,2004
Jerramy Stevens,TE,16,55,2004
Ladell Betts,RB,16,54,2004
Reche Caldwell,WR,6,54,2004
Aaron Stecker,RB,16,54,2004
Obafemi Ayanbadejo,RB,16,53,2004
Andre' Davis,WR,7,53,2004
Verron Haynes,RB,13,53,2004
Brad Hoover,RB,14,53,2004
Terry Glenn,WR,6,52,2004
Najeh Davenport,RB,11,51,2004
Eli Manning,QB,9,51,2004
Ricky Proehl,WR,16,51,2004
Mark Campbell,TE,12,50,2004
Kris Mangum,RB,15,50,2004
Freddie Mitchell,RB,16,50,2004
Dez White,WR,16,50,2004
Aaron Shea,TE,15,49,2004
Derick Armstrong,WR,14,48,2004
Todd Heap,TE,6,48,2004
Chad Hutchinson,QB,5,48,2004
Darius Watts,WR,16,48,2004
Boo Williams,TE,16,48,2004
Ike Hilliard,WR,16,47,2004
Kelly Holcomb,QB,4,47,2004
Wayne Chrebet,WR,16,46,2004
Keenan McCardell,WR,7,46,2004
Robert Ferguson,WR,13,45,2004
DeShaun Foster,RB,4,45,2004
Joe Jurevicius,WR,10,45,2004
Chad Lewis,TE,15,45,2004
Stephen Alexander,TE,16,44,2004
Zack Crockett,RB,16,44,2004
Randy Hymes,WR,14,44,2004
Matt Schobel,TE,16,44,2004
Kelly Campbell,WR,16,43,2004
Kevin Johnson,WR,16,43,2004
Doug Jolley,TE,16,43,2004
Kassim Osgood,WR,16,43,2004
Jerald Sowell,RB,16,43,2004
Chris Baker,TE,16,42,2004
Troy Hambrick,RB,10,42,2004
William Henderson,RB,16,42,2004
Travis Taylor,WR,10,42,2004
Jon Kitna,QB,4,41,2004
Ernest Wilford,WR,15,41,2004
Ben Troupe,TE,14,39,2004
Kenny Watson,RB,16,39,2004
Brian Finneran,WR,12,38,2004
LaBrandon Toefield,RB,14,38,2004
Bernard Berrian,WR,16,37,2004
Travis Henry,RB,10,37,2004
Brad Johnson,QB,4,37,2004
Erron Kinney,TE,9,37,2004
Artose Pinner,RB,9,37,2004
Alvis Whitted,WR,11,37,2004
Reggie Williams,WR,16,37,2004
Greg Jones,RB,16,36,2004
Patrick Pass,RB,14,36,2004
David Garrard,QB,4,35,2004
J.R. Redmond,RB,16,35,2004
Eddie Berlin,WR,16,34,2004
Antonio Chatman,WR,16,34,2004
Desmond Clark,TE,15,34,2004
Rich Gannon,QB,3,34,2004
Dominic Rhodes,RB,16,34,2004
Tai Streets,WR,13,34,2004
Rex Grossman,QB,3,33,2004
Craig Krenzel,QB,6,33,2004
Quincy Carter,QB,7,32,2004
Christian Fauria,TE,16,32,2004
Troy Fleming,RB,16,32,2004
Justin Griffith,RB,12,32,2004
Doug Flutie,QB,2,31,2004
Luke McCown,QB,5,31,2004
Robert Royal,TE,14,31,2004
Shaud Williams,RB,4,31,2004
Jason Dunn,TE,16,30,2004
Itula Mili,TE,15,30,2004
Dante Hall,WR,16,29,2004
Craig Nall,QB,5,29,2004
Patrick Hape,RB,16,28,2004
Cory Schlesinger,RB,13,28,2004
Josh Scobey,RB,12,28,2004
Reggie Swinton,WR,13,28,2004
Daniel Wilcox,WR,16,28,2004
Tim Carter,WR,5,27,2004
Mike Cloud,RB,10,27,2004
Bryan Gilmore,WR,16,27,2004
Jerame Tuman,TE,16,27,2004
Tim Brown,WR,15,26,2004
Dwayne Carswell,TE,15,26,2004
Mike Seidman,TE,16,26,2004
Ron Dayne,RB,14,25,2004
Justin Fargas,RB,12,25,2004
Chris Horn,WR,14,25,2004
Kyle Johnson,RB,14,25,2004
Teyo Johnson,TE,8,25,2004
Shad Meier,TE,14,25,2004
Courtney Anderson,TE,9,24,2004
Troy Brown,WR,12,24,2004
Terry Jackson,RB,16,24,2004
Bethel Johnson,WR,13,24,2004
Billy Miller,TE,16,24,2004
James Mungro,RB,15,24,2004
Jonathan Carter,WR,13,23,2004
Brandon Manumaleuna,TE,16,23,2004
Mack Strong,RB,16,23,2004
Tim Euhus,TE,12,22,2004
Bill Schroeder,WR,7,22,2004
David Tyree,WR,16,22,2004
Rashaun Woods,WR,14,22,2004
Terry Jones,TE,15,21,2004
Charles Lee,WR,7,21,2004
Reno Mahe,RB,11,21,2004
Patrick Crayton,WR,8,20,2004
Cortez Hankton,WR,12,20,2004
Greg Lewis,WR,16,20,2004
Samie Parker,WR,4,20,2004
Willie Parker,RB,8,20,2004
Justin Peelle,TE,16,20,2004
Jay Riemersma,TE,11,20,2004
James Thrash,WR,16,20,2004
Karl Williams,WR,15,20,2004
Taylor Jacobs,WR,15,19,2004
Shaun King,QB,3,19,2004
ReShard Lee,RB,14,19,2004
Jason McKie,RB,15,19,2004
Bryan Johnson,RB,12,18,2004
Dane Looker,WR,14,18,2004
Maurice Morris,RB,15,18,2004
Jonathan Quinn,QB,5,18,2004
Chris Simms,QB,5,18,2004
Jerheme Urban,WR,7,18,2004
Charlie Garner,RB,3,17,2004
Frisman Jackson,WR,10,17,2004
Brian Jones,TE,16,17,2004
Donald Lee,TE,16,17,2004
Tony Richardson,RB,16,17,2004
Jamal Robertson,RB,12,17,2004
Anthony Becht,TE,16,16,2004
Kyle Brady,TE,11,16,2004
Ernie Conwell,TE,16,16,2004
Justin Gage,WR,16,16,2004
Garrison Hearst,RB,7,16,2004
Will Heller,TE,10,16,2004
Todd Yoder,TE,16,16,2004
Sam Aiken,WR,16,15,2004
Arnaz Battle,WR,14,15,2004
Darnell Dinkins,TE,10,15,2004
Tim Dwight,WR,12,15,2004
Chris Fuamatu-Ma'afala,RB,7,15,2004
Leonard Henry,RB,6,15,2004
Rob Konrad,RB,10,15,2004
Dan Kreider,RB,16,15,2004
Tommy Maddox,QB,4,15,2004
Josh Reed,WR,12,15,2004
Jim Sorgi,QB,4,15,2004
Terrance Copper,WR,10,14,2004
Joey Goodspeed,RB,16,14,2004
Lamar Gordon,RB,3,14,2004
Ryan Krause,TE,2,14,2004
Lee Mays,WR,16,14,2004
Jamaar Taylor,WR,8,14,2004
Peter Warrick,WR,4,14,2004
Darian Barnes,RB,16,13,2004
Trent Dilfer,QB,5,13,2004
David Kircus,WR,7,13,2004
Michael Lewis,WR,14,13,2004
Dustin Lyman,TE,16,13,2004
George Wrighster,TE,4,13,2004
Stephen Davis,RB,2,12,2004
Jim Finn,RB,16,12,2004
Robert Holcombe,RB,16,12,2004
Michael Jenkins,WR,16,12,2004
Jeremi Johnson,RB,16,12,2004
Lorenzo Neal,RB,16,12,2004
Jeff Robinson,TE,16,12,2004
Matt Schaub,QB,6,12,2004
Aaron Walker,TE,16,12,2004
Mike Bartrum,TE,16,11,2004
Chris Chandler,QB,5,11,2004
Malcom Floyd,WR,4,11,2004
Ryan Hannam,TE,16,11,2004
Arlen Harris,RB,14,11,2004
Daimon Shelton,RB,16,11,2004
Tony Stewart,TE,16,11,2004
Michael Turner,RB,14,11,2004
Jameel Cook,TE,12,10,2004
Casey Fitzsimmons,TE,16,10,2004
James Jackson,RB,5,10,2004
Marcellus Rivers,TE,16,10,2004
Jamel White,RB,13,10,2004
Larry Croom,RB,6,9,2004
Tony Hollings,RB,7,9,2004
Reggie Kelly,TE,16,9,2004
David Martin,WR,9,9,2004
Sage Rosenfels,QB,3,9,2004
Visanthe Shiancoe,TE,16,9,2004
Jed Weaver,TE,10,9,2004
Rabih Abdullah,RB,9,8,2004
Brandon Bennett,RB,8,8,2004
Sean Berton,RB,14,8,2004
Jeff Blake,QB,3,8,2004
Joe Burns,RB,16,8,2004
Jamie Martin,QB,1,8,2004
Josh Parry,RB,13,8,2004
Stanley Pritchett,RB,14,8,2004
