name,position,games,points,year
Arian Foster,RB,16,330,2010
Peyton Hillis,RB,16,244,2010
Adrian Peterson,RB,15,242,2010
Jamaal Charles,RB,16,242,2010
Chris Johnson,RB,16,233,2010
Brandon Lloyd,WR,16,209,2010
Dwayne Bowe,WR,16,207,2010
Darren McFadden,RB,13,226,2010
Roddy White,WR,16,203,2010
Michael Vick,QB,12,316,2010
Rashard Mendenhall,RB,16,222,2010
LeSean McCoy,RB,15,221,2010
Greg Jennings,WR,16,198,2010
Matt Forte,RB,16,218,2010
Michael Turner,RB,16,218,2010
Ray Rice,RB,16,214,2010
Aaron Rodgers,QB,15,306,2010
Mike Wallace,WR,16,190,2010
Calvin Johnson,WR,15,189,2010
Tom Brady,QB,16,301,2010
Ahmad Bradshaw,RB,16,205,2010
Maurice Jones-Drew,RB,14,204,2010
Steven Jackson,RB,16,198,2010
Jason Witten,TE,16,156,2010
Philip Rivers,QB,16,290,2010
Peyton Manning,QB,16,288,2010
Reggie Wayne,WR,16,172,2010
Hakeem Nicks,WR,13,171,2010
Andre Johnson,WR,13,171,2010
Steve Johnson,WR,16,167,2010
BenJarvus Green-Ellis,RB,16,187,2010
Mike Williams,WR,16,162,2010
Miles Austin,WR,16,161,2010
Jeremy Maclin,WR,16,160,2010
Drew Brees,QB,16,273,2010
Antonio Gates,TE,10,138,2010
Cedric Benson,RB,16,179,2010
DeSean Jackson,WR,14,158,2010
Vernon Davis,TE,16,135,2010
Terrell Owens,WR,14,152,2010
Larry Fitzgerald,WR,16,152,2010
Marcedes Lewis,TE,16,130,2010
Josh Freeman,QB,16,264,2010
Mario Manningham,WR,16,149,2010
Santana Moss,WR,16,147,2010
Matt Ryan,QB,16,258,2010
Marques Colston,WR,15,144,2010
LaDainian Tomlinson,RB,15,164,2010
Knowshon Moreno,RB,13,163,2010
Mike Tolbert,RB,15,163,2010
Frank Gore,RB,11,161,2010
Matt Schaub,QB,16,252,2010
Rob Gronkowski,TE,16,115,2010
Percy Harvin,WR,14,136,2010
Fred Jackson,RB,16,156,2010
Braylon Edwards,WR,16,135,2010
Kenny Britt,WR,12,134,2010
Eli Manning,QB,16,241,2010
Wes Welker,WR,15,127,2010
Johnny Knox,WR,16,126,2010
Chris Cooley,TE,16,105,2010
Anquan Boldin,WR,16,126,2010
Joe Flacco,QB,16,239,2010
Lance Moore,WR,16,124,2010
Kellen Winslow,TE,16,103,2010
Tony Gonzalez,TE,16,102,2010
Derrick Mason,WR,16,122,2010
Brandon Jacobs,RB,16,142,2010
Dustin Keller,TE,16,99,2010
Zach Miller,TE,15,99,2010
Brandon Marshall,WR,14,120,2010
Jahvid Best,RB,16,140,2010
Aaron Hernandez,TE,14,97,2010
Deion Branch,WR,15,118,2010
Marquis Johnson,,2,,2010
LeGarrette Blount,RB,13,138,2010
J.P. Foschi,,2,,2010
Mike Thomas,WR,16,117,2010
Matt Cassel,QB,15,231,2010
Carson Palmer,QB,16,230,2010
David Garrard,QB,14,229,2010
Jay Cutler,QB,15,222,2010
Kyle Orton,QB,13,218,2010
Ben Roethlisberger,QB,12,216,2010
Ryan Fitzpatrick,QB,13,209,2010
Mark Sanchez,QB,16,204,2010
Sam Bradford,QB,16,195,2010
Donovan McNabb,QB,13,176,2010
Shaun Hill,QB,11,162,2010
