name,position,games,points,year
DeMarco Murray,RB,16,294,2014
Le'Veon Bell,RB,16,288,2014
Marshawn Lynch,RB,16,265,2014
Antonio Brown,WR,16,252,2014
Matt Forte,RB,16,245,2014
Arian Foster,RB,13,236,2014
Eddie Lacy,RB,16,231,2014
Jordy Nelson,WR,16,230,2014
Demaryius Thomas,WR,16,230,2014
Dez Bryant,WR,16,228,2014
Rob Gronkowski,TE,15,184,2014
Aaron Rodgers,QB,16,358,2014
Jamaal Charles,RB,15,210,2014
Andrew Luck,QB,16,356,2014
Justin Forsett,RB,16,205,2014
Odell Beckham,WR,12,204,2014
Randall Cobb,WR,16,202,2014
Emmanuel Sanders,WR,16,201,2014
Julio Jones,WR,15,193,2014
Jeremy Maclin,WR,16,192,2014
Lamar Miller,RB,16,185,2014
Russell Wilson,QB,16,332,2014
Jeremy Hill,RB,16,184,2014
Antonio Gates,TE,16,154,2014
C.J. Anderson,RB,15,177,2014
T.Y. Hilton,WR,15,179,2014
Jimmy Graham,TE,16,145,2014
Mike Evans,WR,15,177,2014
Alshon Jeffery,WR,16,177,2014
LeSean McCoy,RB,16,171,2014
Alfred Morris,RB,16,171,2014
Peyton Manning,QB,16,313,2014
Joique Bell,RB,15,166,2014
Greg Olsen,TE,16,137,2014
Ben Roethlisberger,QB,16,310,2014
Mark Ingram,RB,13,163,2014
Martellus Bennett,TE,16,132,2014
Drew Brees,QB,16,305,2014
Golden Tate,WR,16,162,2014
Coby Fleener,TE,16,125,2014
Calvin Johnson,WR,13,156,2014
DeAndre Hopkins,WR,16,155,2014
Kelvin Benjamin,WR,16,155,2014
Matt Asiata,RB,15,150,2014
Julius Thomas,TE,13,121,2014
DeSean Jackson,WR,15,154,2014
Frank Gore,RB,16,148,2014
Giovani Bernard,RB,13,145,2014
Delanie Walker,TE,15,113,2014
Mike Wallace,WR,16,146,2014
Travis Kelce,TE,16,110,2014
Torrey Smith,WR,16,143,2014
Matt Ryan,QB,16,284,2014
Steve Smith,WR,16,141,2014
Chris Ivory,RB,16,134,2014
Tom Brady,QB,16,280,2014
Anquan Boldin,WR,16,137,2014
Brandon LaFell,WR,16,137,2014
A.J. Green,WR,13,136,2014
Ryan Tannehill,QB,16,279,2014
Andre Ellington,RB,12,132,2014
Jordan Matthews,WR,16,135,2014
Jason Witten,TE,16,100,2014
Sammy Watkins,WR,16,133,2014
Julian Edelman,WR,14,133,2014
Roddy White,WR,14,132,2014
Eli Manning,QB,16,270,2014
Andre Williams,WR,16,127,2014
Heath Miller,TE,16,94,2014
Fred Jackson,RB,14,123,2014
Eric Decker,WR,15,126,2014
Steven Jackson,RB,15,122,2014
Jonathan Stewart,RB,13,121,2014
Tony Romo,QB,15,266,2014
Bradie Ewing,,0,,2014
Philip Rivers,QB,16,266,2014
Mohamed Sanu,WR,16,123,2014
Richie Brockel,,4,,2014
Joe Flacco,QB,16,262,2014
Jay Cutler,QB,15,256,2014
Matthew Stafford,QB,16,254,2014
Colin Kaepernick,QB,16,251,2014
Cam Newton,QB,14,249,2014
Andy Dalton,QB,16,225,2014
Alex Smith,QB,15,224,2014
Derek Carr,QB,16,192,2014
Teddy Bridgewater,QB,13,180,2014
Ryan Fitzpatrick,QB,12,180,2014
Kyle Orton,QB,12,176,2014
Blake Bortles,QB,14,174,2014
Brian Hoyer,QB,14,159,2014
Geno Smith,QB,14,157,2014
Mark Sanchez,QB,9,139,2014
Josh McCown,QB,11,127,2014
Malcom Floyd,WR,16,122,2014
Nick Foles,QB,8,119,2014
Tre Mason,RB,12,119,2014
Eddie Royal,WR,16,119,2014
Marques Colston,WR,16,118,2014
Michael Floyd,WR,16,118,2014
Brandon Marshall,WR,13,118,2014
Ahmad Bradshaw,RB,10,117,2014
Shane Vereen,RB,16,114,2014
Isaiah Crowell,RB,16,113,2014
Rueben Randle,WR,16,112,2014
Kenny Stills,WR,15,111,2014
Kendall Wright,WR,14,111,2014
Vincent Jackson,WR,16,110,2014
Greg Jennings,WR,16,110,2014
Terrance Williams,WR,16,110,2014
Rashad Jennings,RB,11,109,2014
Branden Oliver,RB,14,109,2014
Austin Davis,QB,10,108,2014
Andre Johnson,WR,15,106,2014
Carson Palmer,QB,6,106,2014
Darren Sproles,RB,15,106,2014
Martavis Bryant,WR,10,104,2014
Allen Hurns,WR,16,104,2014
Terrance West,RB,14,102,2014
Doug Baldwin,WR,16,101,2014
James Jones,WR,16,101,2014
Robert Woods,WR,16,100,2014
John Brown,WR,16,99,2014
Knile Davis,RB,16,99,2014
Keenan Allen,WR,14,98,2014
Jarvis Landry,WR,16,97,2014
Andrew Hawkins,WR,15,96,2014
Drew Stanton,QB,9,95,2014
Kenny Britt,WR,16,94,2014
Michael Crabtree,WR,16,94,2014
Pierre Garcon,WR,16,93,2014
Andre Holmes,WR,16,93,2014
Chris Johnson,RB,16,91,2014
Trent Richardson,RB,15,91,2014
Denard Robinson,WR,13,91,2014
Larry Donnell,TE,16,90,2014
Larry Fitzgerald,WR,14,90,2014
Mike Glennon,QB,6,90,2014
Reggie Wayne,WR,15,90,2014
Robert Griffin,QB,9,89,2014
Shaun Hill,QB,9,89,2014
Dwayne Allen,RB,13,88,2014
LeGarrette Blount,RB,16,88,2014
Kirk Cousins,QB,6,88,2014
Charlie Whitehurst,QB,7,87,2014
Brandin Cooks,WR,10,86,2014
Zach Ertz,TE,16,86,2014
Roy Helu,WR,14,85,2014
Darren McFadden,RB,16,85,2014
Alfred Blue,RB,16,82,2014
Jared Cook,TE,16,81,2014
Ronnie Hillman,RB,8,81,2014
Benny Cunningham,RB,16,80,2014
Charles Clay,TE,14,79,2014
Percy Harvin,WR,13,79,2014
Bobby Rainey,RB,15,78,2014
Bishop Sankey,RB,16,78,2014
Pierre Thomas,RB,11,78,2014
Markus Wheaton,WR,16,78,2014
Jarius Wright,WR,16,78,2014
Dwayne Bowe,WR,15,77,2014
Owen Daniels,TE,15,77,2014
Nate Washington,WR,16,77,2014
Jermaine Gresham,TE,15,76,2014
Mychal Rivera,TE,16,75,2014
Riley Cooper,WR,16,74,2014
Jonas Gray,RB,8,72,2014
Zach Mettenberger,QB,7,71,2014
Harry Douglas,WR,12,70,2014
Devin Hester,WR,16,70,2014
Miles Austin,WR,12,69,2014
Taylor Gabriel,WR,16,69,2014
Latavius Murray,RB,15,69,2014
Allen Robinson,WR,10,69,2014
Scott Chandler,TE,16,68,2014
Justin Hunter,WR,12,68,2014
Doug Martin,RB,11,68,2014
Reggie Bush,RB,11,67,2014
Jerick McKinnon,RB,11,67,2014
Cecil Shorts,WR,13,67,2014
Ben Tate,RB,11,67,2014
Jerricho Cotchery,WR,15,66,2014
Hakeem Nicks,WR,16,65,2014
Antone Smith,RB,10,65,2014
Lorenzo Taliaferro,RB,13,65,2014
Jermaine Kearse,WR,15,64,2014
Jake Locker,QB,7,64,2014
Donte Moncrief,WR,16,64,2014
Davante Adams,WR,16,63,2014
Chris Hogan,WR,16,63,2014
Colt McCoy,QB,5,63,2014
Cole Beasley,WR,16,62,2014
Carlos Hyde,RB,14,62,2014
Steve Johnson,WR,13,62,2014
Tim Wright,WR,16,62,2014
Toby Gerhart,RB,14,61,2014
Theo Riddick,RB,14,61,2014
Anthony Dixon,RB,16,60,2014
Charles Johnson,WR,12,60,2014
Jeremy Kerley,WR,16,60,2014
Cordarrelle Patterson,WR,16,60,2014
Robert Turbin,RB,16,60,2014
Tavon Austin,WR,15,59,2014
Brian Hartline,WR,16,59,2014
EJ Manuel,QB,5,59,2014
James Starks,RB,16,59,2014
Ryan Mathews,RB,6,58,2014
Wes Welker,WR,14,58,2014
Devonta Freeman,RB,16,57,2014
Khiry Robinson,RB,10,57,2014
Lance Kendricks,TE,16,56,2014
Brian Quick,WR,7,56,2014
Luke Willson,TE,15,56,2014
Niles Paul,WR,16,55,2014
Andre Roberts,WR,16,55,2014
Stepfan Taylor,RB,14,55,2014
Jordan Cameron,TE,10,54,2014
Dan Herron,RB,16,54,2014
Andrew Quarless,TE,16,54,2014
Jacquizz Rodgers,RB,16,53,2014
Derek Anderson,QB,6,52,2014
Preston Parker,WR,16,52,2014
Stedman Bailey,WR,14,51,2014
Travis Benjamin,WR,16,51,2014
Shonn Greene,RB,13,51,2014
Joseph Randle,RB,16,51,2014
Louis Murphy,WR,11,50,2014
Jordan Todman,RB,16,50,2014
Jace Amaro,WR,14,49,2014
Corey Brown,WR,13,49,2014
Anthony Fasano,TE,15,49,2014
Marqise Lee,WR,13,49,2014
Josh Hill,TE,16,48,2014
Bernard Pierce,RB,13,48,2014
Stevan Ridley,RB,6,48,2014
Juwan Thompson,RB,15,48,2014
C.J. Spiller,RB,9,47,2014
Zac Stacy,RB,13,47,2014
Kamar Aiken,WR,16,45,2014
Jordan Reed,TE,11,45,2014
Michael Vick,QB,10,45,2014
Donald Brown,RB,13,43,2014
John Carlson,RB,16,43,2014
Jeff Cumberland,TE,16,43,2014
Chris Polk,RB,14,43,2014
Charles Sims,RB,8,42,2014
Jason Avant,WR,16,41,2014
Daniel Fells,TE,16,41,2014
