name,position,games,points,year
Shaun Alexander,RB,16,364,2005
Larry Johnson,RB,16,335,2005
LaDainian Tomlinson,RB,16,317,2005
Tiki Barber,RB,16,307,2005
Edgerrin James,RB,15,268,2005
Steve Smith,WR,16,237,2005
Clinton Portis,RB,16,246,2005
Antonio Gates,TE,15,170,2005
Larry Fitzgerald,WR,16,205,2005
Santana Moss,WR,16,202,2005
Chad Johnson,WR,16,201,2005
LaMont Jordan,RB,14,227,2005
Rudi Johnson,RB,16,227,2005
Joey Galloway,WR,16,189,2005
Anquan Boldin,WR,14,189,2005
Torry Holt,WR,14,187,2005
Chris Chambers,WR,16,187,2005
Marvin Harrison,WR,15,187,2005
Jeremy Shockey,TE,15,133,2005
Carson Palmer,QB,16,270,2005
Thomas Jones,RB,15,202,2005
Mike Anderson,,15,201,2005
Todd Heap,TE,16,128,2005
Steven Jackson,RB,15,197,2005
Hines Ward,WR,15,165,2005
Alge Crumpler,TE,16,120,2005
Plaxico Burress,WR,16,163,2005
Tom Brady,QB,16,255,2005
Warrick Dunn,RB,16,188,2005
Terry Glenn,WR,16,161,2005
Jason Witten,TE,16,112,2005
Peyton Manning,QB,16,248,2005
Donald Driver,WR,16,153,2005
T.J. Houshmandzadeh,WR,14,150,2005
Randy Moss,WR,16,149,2005
Rod Smith,WR,16,147,2005
Tony Gonzalez,TE,16,103,2005
Keenan McCardell,WR,16,146,2005
Willis McGahee,RB,16,173,2005
Reuben Droughns,RB,16,172,2005
Willie Parker,RB,15,172,2005
Eddie Kennison,WR,16,145,2005
Corey Dillon,RB,12,169,2005
Matt Hasselbeck,QB,16,235,2005
Domanick Williams,RB,11,167,2005
Brian Westbrook,RB,12,167,2005
Jimmy Smith,WR,16,138,2005
Reggie Wayne,WR,16,138,2005
Donte' Stallworth,WR,16,137,2005
Cadillac Williams,RB,14,162,2005
Eli Manning,QB,16,228,2005
Michael Vick,QB,15,227,2005
Chris Brown,RB,15,160,2005
Randy McMichael,TE,16,88,2005
L.J. Smith,TE,16,86,2005
Deion Branch,WR,16,130,2005
Joe Jurevicius,WR,16,129,2005
Drew Bledsoe,QB,16,223,2005
Jerramy Stevens,TE,16,85,2005
Jake Plummer,QB,16,222,2005
Drew Brees,QB,16,220,2005
Heath Miller,TE,16,82,2005
Trent Green,QB,16,219,2005
Derrick Mason,WR,16,125,2005
Antonio Bryant,WR,16,125,2005
Julius Jones,RB,13,151,2005
Tatum Bell,RB,15,151,2005
Jerry Porter,WR,16,123,2005
Kerry Collins,QB,15,216,2005
Kevin Curtis,WR,16,123,2005
Keyshawn Johnson,WR,16,122,2005
Ben Troupe,TE,15,77,2005
Lee Evans,WR,16,120,2005
Ronnie Brown,RB,15,144,2005
Corey McIntyre,,15,,2005
DeShaun Foster,RB,15,143,2005
Sean McHugh,,3,,2005
Jake Delhomme,QB,16,210,2005
Mark Brunell,QB,16,207,2005
Steve McNair,QB,14,188,2005
Brett Favre,QB,16,187,2005
Aaron Brooks,QB,13,173,2005
David Carr,QB,16,172,2005
Gus Frerotte,QB,16,172,2005
Ben Roethlisberger,QB,12,170,2005
Donovan McNabb,QB,9,160,2005
Byron Leftwich,QB,11,154,2005
Kurt Warner,QB,10,139,2005
Jamal Lewis,RB,15,134,2005
Marc Bulger,QB,8,133,2005
Stephen Davis,RB,13,131,2005
Brad Johnson,QB,15,121,2005
Ricky Williams,RB,12,120,2005
Chris Cooley,RB,16,119,2005
Mewelde Moore,RB,16,118,2005
Trent Dilfer,QB,11,117,2005
Roy Williams,WR,13,117,2005
Laveranues Coles,WR,16,115,2005
Curtis Martin,RB,12,115,2005
Terrell Owens,WR,7,113,2005
Joey Harrington,QB,12,112,2005
Chris Simms,QB,11,110,2005
Amani Toomer,WR,16,110,2005
Ernest Wilford,WR,16,110,2005
Samkon Gado,RB,8,108,2005
Priest Holmes,RB,7,107,2005
Kevin Jones,RB,13,107,2005
Eric Moulds,WR,15,106,2005
Kyle Boller,QB,9,105,2005
Fred Taylor,RB,11,105,2005
Brandon Lloyd,WR,16,103,2005
Josh McCown,QB,9,101,2005
Kevan Barlow,RB,12,100,2005
Muhsin Muhammad,WR,15,99,2005
Drew Bennett,WR,13,98,2005
Bobby Engram,WR,13,96,2005
David Garrard,QB,7,96,2005
Eric Parker,WR,15,96,2005
Marion Barber,RB,13,95,2005
Jerome Bettis,RB,12,95,2005
Brooks Bollinger,QB,11,92,2005
T.J. Duckett,RB,14,92,2005
Frank Gore,RB,14,92,2005
Kelly Holcomb,QB,10,91,2005
Ashley Lelie,WR,16,91,2005
Michael Bennett,RB,16,90,2005
Kyle Orton,QB,15,89,2005
Antowain Smith,RB,16,89,2005
Greg Jones,RB,14,88,2005
Marty Booker,WR,15,87,2005
David Givens,WR,13,87,2005
Michael Pittman,RB,16,86,2005
Daunte Culpepper,QB,7,85,2005
J.P. Losman,QB,9,85,2005
Travis Taylor,WR,16,85,2005
Justin McCareins,WR,16,84,2005
Marcus Robinson,WR,15,84,2005
Chester Taylor,RB,15,84,2005
