name,position,games,points,year
DeAngelo Williams,RB,16,286,2008
Michael Turner,RB,16,276,2008
Adrian Peterson,RB,16,249,2008
Larry Fitzgerald,WR,16,215,2008
Matt Forte,RB,16,244,2008
Thomas Jones,RB,16,242,2008
Tony Gonzalez,TE,16,166,2008
Andre Johnson,WR,16,208,2008
Calvin Johnson,WR,16,207,2008
Drew Brees,QB,16,305,2008
Aaron Rodgers,QB,16,296,2008
Steve Slaton,RB,16,226,2008
LaDainian Tomlinson,RB,16,226,2008
Clinton Portis,RB,16,225,2008
Maurice Jones-Drew,RB,16,223,2008
Brian Westbrook,RB,14,218,2008
Philip Rivers,QB,16,287,2008
Greg Jennings,WR,16,185,2008
Steve Smith,WR,14,182,2008
Roddy White,WR,16,181,2008
Jay Cutler,QB,16,281,2008
Chris Johnson,RB,15,209,2008
Anquan Boldin,WR,12,177,2008
Kurt Warner,QB,16,277,2008
Brandon Jacobs,RB,13,203,2008
Antonio Bryant,WR,16,169,2008
Terrell Owens,WR,16,169,2008
Randy Moss,WR,16,167,2008
Jason Witten,TE,16,121,2008
Dallas Clark,TE,15,121,2008
Brandon Marshall,WR,15,162,2008
Antonio Gates,TE,16,118,2008
Frank Gore,RB,14,191,2008
Vincent Jackson,WR,16,159,2008
Steven Jackson,RB,12,190,2008
Marshawn Lynch,RB,15,188,2008
Peyton Manning,QB,16,254,2008
Marion Barber,RB,15,184,2008
Reggie Wayne,WR,16,153,2008
Donovan McNabb,QB,16,253,2008
Matt Cassel,QB,16,253,2008
Ronnie Brown,RB,16,183,2008
Lance Moore,WR,16,151,2008
Hines Ward,WR,16,147,2008
Dwayne Bowe,WR,16,144,2008
Visanthe Shiancoe,TE,16,102,2008
Santana Moss,WR,16,143,2008
Kevin Smith,RB,16,174,2008
Bernard Berrian,WR,16,141,2008
Eddie Royal,WR,15,141,2008
Owen Daniels,TE,16,98,2008
Kevin Walter,WR,16,140,2008
Wes Welker,WR,16,139,2008
LenDale White,RB,16,169,2008
Le'Ron McClain,RB,16,169,2008
Derrick Mason,WR,16,136,2008
John Carlson,TE,16,93,2008
Chris Cooley,TE,16,91,2008
Donald Driver,WR,16,132,2008
Pierre Thomas,RB,15,163,2008
Ryan Grant,RB,16,162,2008
Anthony Fasano,TE,16,87,2008
Greg Olsen,TE,16,87,2008
Laveranues Coles,WR,16,128,2008
Isaac Bruce,WR,16,127,2008
Tony Scheffler,TE,13,82,2008
Lee Evans,WR,16,124,2008
Muhsin Muhammad,WR,16,122,2008
Derrick Ward,RB,16,153,2008
David Garrard,QB,16,222,2008
Steve Breaston,WR,16,119,2008
Tyler Thigpen,QB,14,221,2008
Chad Pennington,QB,16,220,2008
Jerricho Cotchery,WR,16,119,2008
Reagan Maui'a,,2,,2008
J.P. Foschi,,7,,2008
DeSean Jackson,WR,16,117,2008
Kevin Boss,TE,15,74,2008
Tony Romo,QB,13,218,2008
Eli Manning,QB,16,203,2008
Jason Campbell,QB,16,202,2008
Matt Ryan,QB,16,198,2008
Brett Favre,QB,16,197,2008
Kyle Orton,QB,15,192,2008
Ben Roethlisberger,QB,16,191,2008
Joe Flacco,QB,16,187,2008
Matt Schaub,QB,11,183,2008
Jake Delhomme,QB,16,182,2008
Jeff Garcia,QB,12,167,2008
Trent Edwards,QB,14,164,2008
JaMarcus Russell,QB,15,152,2008
