name,position,games,points,year
Todd Gurley,RB,15,319,2017
Le'Veon Bell,RB,15,257,2017
Kareem Hunt,RB,16,242,2017
Alvin Kamara,RB,16,239,2017
Melvin Gordon,RB,16,230,2017
DeAndre Hopkins,WR,15,214,2017
Antonio Brown,WR,14,209,2017
Mark Ingram,RB,16,220,2017
Russell Wilson,QB,16,348,2017
LeSean McCoy,RB,16,205,2017
Rob Gronkowski,TE,14,158,2017
Travis Kelce,TE,15,151,2017
Leonard Fournette,RB,13,194,2017
Keenan Allen,WR,16,176,2017
Tyreek Hill,WR,15,170,2017
Marvin Jones,WR,16,164,2017
Julio Jones,WR,16,164,2017
Ezekiel Elliott,RB,10,177,2017
Jordan Howard,RB,16,177,2017
Carlos Hyde,RB,16,175,2017
Zach Ertz,TE,14,128,2017
Brandin Cooks,WR,16,156,2017
Cam Newton,QB,16,299,2017
Dion Lewis,RB,16,171,2017
Michael Thomas,WR,16,155,2017
Larry Fitzgerald,WR,16,152,2017
A.J. Green,WR,16,152,2017
Tom Brady,QB,16,296,2017
Alex Smith,QB,15,295,2017
Adam Thielen,WR,16,149,2017
Davante Adams,WR,14,149,2017
Doug Baldwin,WR,16,148,2017
Devonta Freeman,RB,14,164,2017
Jarvis Landry,WR,16,148,2017
Jimmy Graham,TE,16,114,2017
Lamar Miller,RB,16,158,2017
JuJu Smith-Schuster,WR,14,140,2017
Alshon Jeffery,WR,16,139,2017
Evan Engram,TE,15,110,2017
Carson Wentz,QB,13,282,2017
Robby Anderson,WR,16,137,2017
Stefon Diggs,WR,14,134,2017
Kirk Cousins,QB,16,278,2017
Christian McCaffrey,RB,16,149,2017
Golden Tate,WR,16,133,2017
Mike Evans,WR,15,132,2017
Devin Funchess,WR,16,132,2017
Alex Collins,RB,15,148,2017
C.J. Anderson,RB,16,147,2017
Kyle Rudolph,TE,16,101,2017
Delanie Walker,TE,16,101,2017
Matthew Stafford,QB,16,274,2017
Frank Gore,RB,16,145,2017
Marshawn Lynch,RB,15,144,2017
Latavius Murray,RB,16,143,2017
Philip Rivers,QB,16,270,2017
Duke Johnson,RB,16,142,2017
Nelson Agholor,WR,16,126,2017
Tevin Coleman,RB,15,141,2017
Cameron Brate,TE,16,95,2017
Demaryius Thomas,WR,16,123,2017
T.Y. Hilton,WR,16,119,2017
Drew Brees,QB,16,263,2017
Jack Doyle,TE,15,89,2017
Dez Bryant,WR,16,117,2017
Kenny Stills,WR,16,117,2017
Ben Roethlisberger,QB,15,261,2017
Dak Prescott,QB,16,261,2017
DeMarco Murray,RB,15,133,2017
Cooper Kupp,WR,15,115,2017
Michael Crabtree,WR,14,114,2017
Jason Witten,TE,16,84,2017
Marquise Goodwin,WR,16,113,2017
Tyler Kroft,TE,16,82,2017
Jermaine Kearse,WR,16,111,2017
Jared Goff,QB,15,255,2017
Hunter Henry,TE,14,82,2017
Alex Armah,,9,,2017
Blake Bortles,QB,16,250,2017
Case Keenum,QB,15,238,2017
Matt Ryan,QB,16,228,2017
Tyrod Taylor,QB,15,223,2017
Andy Dalton,QB,16,211,2017
Marcus Mariota,QB,15,210,2017
Jacoby Brissett,QB,16,206,2017
Derek Carr,QB,15,206,2017
Josh McCown,QB,13,205,2017
Jameis Winston,QB,13,202,2017
Eli Manning,QB,15,187,2017
Joe Flacco,QB,16,185,2017
DeShone Kizer,QB,15,176,2017
Deshaun Watson,QB,7,169,2017
Jay Cutler,QB,14,158,2017
Mitchell Trubisky,QB,12,135,2017
Aaron Rodgers,QB,7,130,2017
Jerick McKinnon,RB,16,127,2017
Trevor Siemian,QB,11,126,2017
Derrick Henry,RB,16,124,2017
Brett Hundley,QB,11,123,2017
Bilal Powell,RB,15,122,2017
Javorius Allen,RB,16,120,2017
Orleans Darkwa,RB,15,119,2017
Jamaal Williams,RB,16,118,2017
Isaiah Crowell,RB,16,116,2017
Chris Thompson,RB,10,112,2017
Jay Ajayi,RB,14,111,2017
Joe Mixon,RB,14,111,2017
Amari Cooper,WR,14,110,2017
Kenyan Drake,RB,16,110,2017
Giovani Bernard,RB,16,109,2017
Jonathan Stewart,RB,15,109,2017
Ted Ginn,WR,15,107,2017
Mohamed Sanu,WR,15,107,2017
Sammy Watkins,WR,15,107,2017
Robert Woods,WR,12,107,2017
Paul Richardson,WR,16,106,2017
Rishard Matthews,WR,14,103,2017
Carson Palmer,QB,7,102,2017
Theo Riddick,RB,16,101,2017
LeGarrette Blount,RB,16,100,2017
Rex Burkhead,RB,10,100,2017
Ameer Abdullah,RB,14,99,2017
Mike Wallace,WR,15,99,2017
Tarik Cohen,RB,16,97,2017
Travis Benjamin,WR,16,96,2017
